id,code,stock_name
610,SH.600770,综艺股份
611,SZ.000875,吉电股份
612,SH.600020,中原高速
613,SZ.002035,华帝股份
614,SZ.002093,国脉科技
615,SH.601899,紫金矿业
616,SZ.002241,歌尔股份
617,SZ.002389,南洋科技
618,SZ.002408,齐翔腾达
619,SZ.002736,国信证券
620,SZ.002558,巨人网络
621,SH.601225,陕西煤业
622,SZ.002636,金安国纪
623,SH.601155,新城控股
624,SZ.000009,中国宝安
625,SZ.000028,国药一致
626,SZ.000078,海王生物
627,SZ.000488,晨鸣纸业
628,SZ.000513,丽珠集团
629,SZ.000538,云南白药
630,SZ.000935,四川双马
631,SZ.000960,锡业股份
632,SH.600056,中国医药
633,SH.600151,航天机电
634,SH.600393,粤泰股份
635,SH.600637,东方明珠
636,SH.600702,舍得酒业
637,SH.600811,东方集团
638,SH.600862,中航高科
639,SH.600426,华鲁恒升
640,SH.600597,光明乳业
641,SH.600557,康缘药业
642,SH.600352,浙江龙盛
643,SH.600325,华发股份
644,SH.600420,现代制药
645,SZ.002466,天齐锂业
646,SH.601018,宁波港
647,SZ.002479,富春环保
648,SH.600998,九州通
649,SZ.002602,世纪华通
650,SZ.002179,中航光电
651,SH.603589,口子窖
652,SZ.000059,华锦股份
653,SZ.000150,宜华健康
654,SZ.000581,威孚高科
655,SZ.000727,华东科技
656,SZ.000848,承德露露
657,SZ.000882,华联股份
658,SH.600111,北方稀土
659,SH.600120,浙江东方
660,SH.600177,雅戈尔
661,SH.600201,生物股份
662,SH.600667,太极实业
663,SH.600779,水井坊
664,SH.600446,金证股份
665,SH.600143,金发科技
666,SZ.002025,航天电器
667,SZ.002065,东华软件
668,SZ.002108,沧州明珠
669,SZ.002250,联化科技
670,SZ.002128,露天煤业
671,SH.601919,中远海控
672,SH.601009,南京银行
673,SH.600999,招商证券
674,SZ.002493,荣盛石化
675,SZ.002714,牧原股份
676,SZ.002721,金一文化
677,SH.601966,玲珑轮胎
678,SH.603858,步长制药
679,SZ.001979,招商蛇口
680,SZ.000158,常山北明
681,SZ.000977,浪潮信息
682,SZ.000999,华润三九
683,SH.600161,天坛生物
684,SH.600266,北京城建
685,SH.600566,济川药业
686,SH.600600,青岛啤酒
687,SH.600690,青岛海尔
688,SH.600867,通化东宝
689,SH.600887,伊利股份
690,SH.600895,张江高科
691,SH.600580,卧龙电气
692,SH.600525,长园集团
693,SH.600477,杭萧钢构
694,SZ.002007,华兰生物
695,SZ.002064,华峰氨纶
696,SZ.002078,太阳纸业
697,SZ.002138,顺络电子
698,SH.601866,中远海发
699,SZ.002217,合力泰
700,SH.601668,中国建筑
701,SH.601788,光大证券
702,SZ.002310,东方园林
703,SZ.002353,杰瑞股份
704,SZ.002359,北讯集团
705,SZ.002439,启明星辰
706,SZ.002462,嘉事堂
707,SZ.002547,春兴精工
708,SH.601669,中国电建
709,SZ.002640,跨境通
710,SZ.002672,东江环保
711,SH.603993,洛阳钼业
712,SZ.000063,中兴通讯
713,SZ.000623,吉林敖东
714,SZ.000681,视觉中国
715,SZ.000697,炼石有色
716,SZ.000718,苏宁环球
717,SZ.000783,长江证券
718,SZ.000826,启迪桑德
719,SZ.000831,五矿稀土
720,SZ.000921,海信科龙
721,SH.600060,海信电器
722,SH.600276,恒瑞医药
723,SH.600519,贵州茅台
724,SH.600583,海油工程
725,SH.600611,大众交通
726,SH.600648,外高桥
