id,code,stock_name,industry,market,operation,useropenid
91,SH.601336,新华保险,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
92,SH.600926,杭州银行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
93,SZ.002594,比亚迪,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
94,SZ.002690,美亚光电,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
95,SZ.000039,中集集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
96,SZ.000425,徐工机械,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
97,SZ.000732,泰禾集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
98,SZ.000767,漳泽电力,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
99,SZ.000876,新希望,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
100,SH.600096,云天化,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
101,SH.600108,亚盛集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
102,SH.600138,中青旅,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
103,SH.600183,生益科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
104,SH.600216,浙江医药,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
105,SH.600388,龙净环保,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
106,SH.600765,中航重机,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
107,SH.600787,中储股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
108,SH.600026,中远海能,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
109,SH.600409,三友化工,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
110,SH.600348,阳泉煤业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
111,SZ.002028,思源电气,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
112,SZ.002210,飞马国际,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
113,SZ.002239,奥特佳,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
114,SZ.002285,世联行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
115,SZ.002372,伟星新材,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
116,SZ.002390,信邦制药,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
117,SZ.002500,山西证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
118,SZ.002491,通鼎互联,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
119,SH.600919,江苏银行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
120,SH.601222,林洋能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
121,SZ.002642,荣之联,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
122,SZ.002701,奥瑞金,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
123,SZ.000008,神州高铁,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
124,SZ.000027,深圳能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
125,SZ.000418,小天鹅,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
126,SZ.000537,广宇发展,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
127,SZ.000541,佛山照明,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
128,SZ.000750,国海证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
129,SZ.000778,新兴铸管,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
130,SZ.000898,鞍钢股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
131,SZ.000959,首钢股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
132,SH.600196,复星医药,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
133,SH.600259,广晟有色,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
134,SH.600332,白云山,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
