 code name
301 SZ.399916 300电信
302 SZ.399917 300公用
303 SZ.399918 300成长
304 SZ.399919 300价值
305 SZ.399920 300R成长
306 SZ.399921 300R价值
307 SZ.399922 中证红利
308 SZ.399923 公司债指
309 SZ.399924 分离债指
310 SZ.399925 基本面50
311 SZ.399926 中证央企
312 SZ.399927 央企100
313 SZ.399928 中证能源
314 SZ.399929 中证材料
315 SZ.399930 中证工业
316 SZ.399931 中证可选
317 SZ.399932 中证消费
318 SZ.399933 中证医药
319 SZ.399934 中证金融
320 SZ.399935 中证信息
321 SZ.399936 中证电信
322 SZ.399937 中证公用
323 SZ.399938 中证民企
324 SZ.399939 民企200
325 SZ.399940 财富大盘
326 SZ.399941 新能源
327 SZ.399942 内地消费
328 SZ.399943 内地基建
329 SZ.399944 内地资源
330 SZ.399945 内地运输
331 SZ.399946 内地金融
332 SZ.399947 内地银行
333 SZ.399948 内地地产
334 SZ.399949 内地农业
335 SZ.399950 300基建
336 SZ.399951 300银行
337 SZ.399952 300地产
338 SZ.399953 中证地企
339 SZ.399954 地企100
340 SZ.399955 中证国企
341 SZ.399956 国企200
342 SZ.399957 300运输
343 SZ.399958 创业成长
344 SZ.399959 军工指数
345 SZ.399960 中证龙头
346 SZ.399961 中证上游
347 SZ.399962 中证中游
348 SZ.399963 中证下游
349 SZ.399964 中证新兴
350 SZ.399965 800地产
351 SZ.399966 800非银
352 SZ.399967 中证军工
353 SZ.399968 300周期
354 SZ.399969 300非周
355 SZ.399970 移动互联
356 SZ.399971 中证传媒
357 SZ.399972 300深市
358 SZ.399973 中证国防
359 SZ.399974 国企改革
360 SZ.399975 证券公司
361 SZ.399976 CS新能车
362 SZ.399977 内地低碳
363 SZ.399978 医药100
364 SZ.399979 大宗商品
365 SZ.399980 中证超大
366 SZ.399981 300分层
367 SZ.399982 500等权
368 SZ.399983 地产等权
369 SZ.399984 300等权
370 SZ.399985 中证全指
371 SZ.399986 中证银行
372 SZ.399987 中证酒
373 SZ.399989 中证医疗
374 SZ.399990 煤炭等权
375 SZ.399991 一带一路
376 SZ.399992 CSWD并购
377 SZ.399993 CSWD生科
378 SZ.399994 信息安全
379 SZ.399995 基建工程
380 SZ.399996 智能家居
381 SZ.399997 中证白酒
382 SZ.399998 中证煤炭
