,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,arturnover_2015q1,arturndays_2015q1,inventory_turnover_2015q1,inventory_days_2015q1,currentasset_turnover_2015q1,currentasset_days_2015q1,Unnamed: 0_y,name_x,arturnover_2015q2,arturndays_2015q2,inventory_turnover_2015q2,inventory_days_2015q2,currentasset_turnover_2015q2,currentasset_days_2015q2,Unnamed: 0_x,name_y,arturnover_2015q3,arturndays_2015q3,inventory_turnover_2015q3,inventory_days_2015q3,currentasset_turnover_2015q3,currentasset_days_2015q3,Unnamed: 0_y,name_x,arturnover_2015q4,arturndays_2015q4,inventory_turnover_2015q4,inventory_days_2015q4,currentasset_turnover_2015q4,currentasset_days_2015q4,Unnamed: 0_x,name_y,arturnover_2016q1,arturndays_2016q1,inventory_turnover_2016q1,inventory_days_2016q1,currentasset_turnover_2016q1,currentasset_days_2016q1,Unnamed: 0_y,name_x,arturnover_2016q2,arturndays_2016q2,inventory_turnover_2016q2,inventory_days_2016q2,currentasset_turnover_2016q2,currentasset_days_2016q2,Unnamed: 0_x,name_y,arturnover_2016q3,arturndays_2016q3,inventory_turnover_2016q3,inventory_days_2016q3,currentasset_turnover_2016q3,currentasset_days_2016q3,Unnamed: 0_y,name_x,arturnover_2016q4,arturndays_2016q4,inventory_turnover_2016q4,inventory_days_2016q4,currentasset_turnover_2016q4,currentasset_days_2016q4,Unnamed: 0_x,name_y,arturnover_2017q1,arturndays_2017q1,inventory_turnover_2017q1,inventory_days_2017q1,currentasset_turnover_2017q1,currentasset_days_2017q1,Unnamed: 0_y,name_x,arturnover_2017q2,arturndays_2017q2,inventory_turnover_2017q2,inventory_days_2017q2,currentasset_turnover_2017q2,currentasset_days_2017q2,Unnamed: 0_x,name_y,arturnover_2017q3,arturndays_2017q3,inventory_turnover_2017q3,inventory_days_2017q3,currentasset_turnover_2017q3,currentasset_days_2017q3,Unnamed: 0_y,name_x,arturnover_2017q4,arturndays_2017q4,inventory_turnover_2017q4,inventory_days_2017q4,currentasset_turnover_2017q4,currentasset_days_2017q4,Unnamed: 0,name_y,arturnover_2018q1,arturndays_2018q1,inventory_turnover_2018q1,inventory_days_2018q1,currentasset_turnover_2018q1,currentasset_days_2018q1
1939,600476,湘邮科技,软件服务,湖南,0.0,1.61,1.61,42451.05,34763.82,3751.78,13590.37,0.84,-0.039,1.2,15.0,20031210,-11659.26,-0.72,-4.9,-1069.86,6.97,-14.9,21057.0,1995.0,湘邮科技,0.568,158.4507,0.3684,244.2997,0.1376,654.0698,2131.0,湘邮科技,1.2852,140.056,0.8427,213.5991,0.3221,558.8327,2035.0,湘邮科技,1.9163,140.8965,1.2356,218.5173,0.4702,574.2237,2480.0,湘邮科技,3.0626,117.5472,2.0116,178.96200000000005,0.7211,499.2373,2039.0,湘邮科技,0.5199,173.1102,0.3948,227.9635,0.1513,594.8447,1912.0,湘邮科技,1.5319999999999998,117.4935,1.2765,141.0106,0.4652,386.9304,1938.0,湘邮科技,2.3057,117.1011,1.7293,156.1325,0.7131,378.6285,2139.0,湘邮科技,3.8712,92.9944,2.7673,130.0907,1.0278,350.2627,2307.0,湘邮科技,0.489,184.0491,0.4245,212.0141,0.1637,549.7862,2641.0,湘邮科技,0.9534,188.798,0.7872,228.6585,0.2897,621.3324,2477.0,湘邮科技,1.6182,166.8521,1.4380000000000002,187.7608,0.5451,495.322,2310.0,湘邮科技,2.3557,152.8208,2.5759,139.757,0.8968,401.4273,2342.0,湘邮科技,0.2967,303.3367,0.4895,183.8611,0.1254,717.7033
1940,547,航天发展,通信设备,福建,45.6,9.66,14.3,744231.38,414277.0,62154.2,426306.25,2.98,0.056,3.83,2.66,19931130,100991.43,0.71,24.24,28.67,47.3,15.4,115224.0,2400.0,航天发展,0.3435,262.0087,0.1614,557.6208,0.0514,1750.9728,2590.0,航天发展,0.7945,226.5576,0.3617,497.65,0.1061,1696.5127,2521.0,航天发展,1.0228,263.9812,0.4341,621.9765,0.1734,1557.0934,2971.0,航天发展,2.2842,157.6044,1.0954,328.6471,0.34600000000000003,1040.4624,2221.0,航天发展,0.6066,148.368,0.2987,301.3057,0.086,1046.5116,2533.0,航天发展,1.1726,153.505,0.6412,280.7236,0.1843,976.6685,2346.0,航天发展,1.8043,149.6425,1.0754,251.0694,0.3092,873.2212,2417.0,航天发展,3.2204,111.7874,2.2144,162.5723,0.5192,693.3744,2275.0,航天发展,0.5111,176.0908,0.44,204.5455,0.1078,834.8794,2598.0,航天发展,0.932,193.133,0.8364,215.208,0.2216,812.2744,2473.0,航天发展,1.2861,209.937,1.4424,187.188,0.359,752.0891,2195.0,航天发展,2.7255,132.0859,2.7966,128.7277,0.5659,636.1548,2327.0,航天发展,0.4545,198.0198,0.499,180.3607,0.1223,735.8953
1941,2183,怡 亚 通,仓储物流,深圳,20.25,21.2,21.23,4744390.0,3835078.0,184064.77,128816.92,0.61,0.098,2.88,2.75,20071113,207932.23,0.98,19.02,11.65,6.72,1.13,116735.0,632.0,怡亚通,1.166,77.187,1.5722,57.2446,0.3337,269.7033,598.0,怡亚通,2.6567,67.7532,3.6481,49.3408,0.7390000000000001,243.5724,657.0,怡亚通,3.8294,70.5071,5.0878,53.0681,1.1507,234.6398,683.0,怡亚通,5.9652,60.35,8.2014,43.8949,1.8065,199.2804,536.0,怡亚通,1.5361,58.5899,1.974,45.5927,0.5069,177.5498,678.0,怡亚通,2.826,63.6943,3.6836,48.8652,0.9418,191.1234,665.0,怡亚通,4.0842,66.1084,5.5874,48.323,1.4624,184.628,723.0,怡亚通,5.7203,62.9338,8.01,44.9438,1.9293,186.5962,729.0,怡亚通,1.2412,72.5105,1.7358,51.8493,0.4426,203.3439,894.0,怡亚通,2.5271,71.2279,3.2885,54.7362,0.8755,205.5968,934.0,怡亚通,3.828,70.5329,4.7954,56.304,1.3059,206.754,896.0,怡亚通,5.4834,65.6527,7.1202,50.5604,1.8985,189.6234,801.0,怡亚通,1.4252,63.149,1.6896,53.267,0.4827,186.4512
1942,600369,西南证券,证券,重庆,24.41,56.45,56.45,6726012.0,0.0,34032.78,776734.31,1.38,0.046,3.43,1.32,20010109,287514.63,0.51,41.54,996.26,0.0,36.49,142845.0,2840.0,西南证券,,,,,,,2963.0,西南证券,,,,,,,2979.0,西南证券,,,,,,,3477.0,西南证券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3444.0,西南证券,,,,,,,3473.0,西南证券,,,,,,,,,,,,,,,3442.0,西南证券,,,,,,,3474.0,西南证券,,,,,,
1943,300329,海伦钢琴,文教休闲,浙江,39.93,2.51,2.51,101715.97,69638.03,17270.63,34978.73,1.39,0.057,3.38,2.69,20120619,21777.35,0.87,22.57,42.84,28.75,12.69,28930.0,1992.0,海伦钢琴,0.9259,97.2027,0.369,243.9024,0.2002,449.5504,2242.0,海伦钢琴,1.9366,92.9464,0.7368,244.2997,0.3966,453.8578,2119.0,海伦钢琴,2.7117,99.5685,1.0936,246.891,0.5992,450.6008,2744.0,海伦钢琴,4.1426,86.9019,1.5504,232.1981,0.6874,523.7125,2151.0,海伦钢琴,0.8408,107.0409,0.339,265.4867,0.1306,689.1271,2443.0,海伦钢琴,1.7771,101.2886,0.7396,243.3748,0.2827,636.7174,2299.0,海伦钢琴,2.7242,99.1117,1.1563,233.5034,0.4361,619.1241,2722.0,海伦钢琴,4.3081,83.5635,1.6282,221.1031,0.5953,604.7371,2392.0,海伦钢琴,0.9728,92.5164,0.3841,234.314,0.1366,658.8580000000002,2576.0,海伦钢琴,2.0685,87.0196,0.856,210.2804,0.3094,581.7712,2530.0,海伦钢琴,3.1164,86.6384,1.3551,199.2473,0.4898,551.2454,2617.0,海伦钢琴,5.0363,71.48100000000002,1.9237,187.1394,0.685,525.5474,2453.0,海伦钢琴,1.0816,83.2101,0.4394,204.8248,0.1613,557.9665
1944,601608,中信重工,专用机械,河南,3422.79,43.0,43.39,1932298.75,1085154.75,371960.34,210105.05,0.48,0.0,1.65,2.07,20120706,-1684.48,0.0,-18.3,146.67,25.24,0.12,118982.0,2239.0,中信重工,0.5109,176.1597,0.2474,363.7833,0.1059,849.8584,2638.0,中信重工,0.755,238.4106,0.3046,590.9389,0.153,1176.4706,2501.0,中信重工,1.1486,235.0688,0.4698,574.7126,0.2291,1178.5247,3164.0,中信重工,1.5759,228.4409,0.6759999999999999,532.5444,0.3066,1174.1683,2456.0,中信重工,0.3918,229.709,0.1849,486.7496,0.0825,1090.9091,2835.0,中信重工,0.7482,240.5774,0.3303,544.9591,0.1553,1159.047,2728.0,中信重工,1.0132,266.4824,0.4926,548.1121,0.208,1298.0769,3079.0,中信重工,1.4509,248.1219,0.8888,405.0405,0.3114,1156.0694,2745.0,中信重工,0.3878,232.0784,0.2296,391.9861,0.0983,915.5646,3014.0,中信重工,0.8233,218.6323,0.4614,390.117,0.2006,897.3081,3032.0,中信重工,1.233,218.9781,0.6576,410.5839,0.28,964.2857,3108.0,中信重工,1.7657,203.8851,0.8740000000000001,411.8993,0.4171,863.1024,3074.0,中信重工,0.3715,242.2611,0.168,535.7143,0.0821,1096.2241
1945,2807,江阴银行,银行,江苏,16.46,7.18,17.67,11280206.0,0.0,96367.8,71443.8,0.4,0.104,5.3,1.29,20160902,288746.59,1.63,13.29,4.74,0.0,29.33,83401.0,,,,,,,,,3017.0,江阴银行,,,,,,,2775.0,江阴银行,,,,,,,3417.0,江阴银行,,,,,,,2875.0,江阴银行,,,,,,,3214.0,江阴银行,,,,,,,,,,,,,,,3471.0,江阴银行,,,,,,,,,,,,,,,3391.0,江阴银行,,,,,,,3434.0,江阴银行,,,,,,,3440.0,江阴银行,,,,,,,3472.0,江阴银行,,,,,,
1946,300588,熙菱信息,软件服务,新疆,0.0,0.37,1.0,101406.06,84168.55,773.87,9448.85,0.94,-0.069,3.73,8.23,20170105,16718.57,1.67,-59.34,-566.47,41.62,-13.8,12994.0,,,,,,,,,,,,,,,,,,,,,,,,,2578.0,熙菱信息,3.0671,117.3747,1.8547,194.1015,0.9479,379.7869,3091.0,熙菱信息,,,,,,,3129.0,熙菱信息,,,,,,,1971.0,熙菱信息,1.9082,141.4946,1.6787,160.8387,0.7228,373.5473,2279.0,熙菱信息,2.8896,124.5847,2.4868,144.7644,0.9826,366.3749,2015.0,熙菱信息,0.5321,169.1411,0.5663,158.9264,0.1981,454.316,1902.0,熙菱信息,1.1383,158.1305,1.54,116.8831,0.4961,362.8301,2252.0,熙菱信息,1.4882,181.4272,1.7868,151.1081,0.6623,407.6702,2047.0,熙菱信息,2.531,142.2363,3.0542,117.8705,1.0699,336.48,3134.0,熙菱信息,0.1207,745.6504,0.1375,654.5455,0.0589,1528.0136
1947,2500,山西证券,证券,山西,64.19,28.29,28.29,5887315.0,0.0,39345.15,671329.63,2.37,0.031,4.44,1.8,20101115,150306.63,0.53,58.16,-37.47,0.0,6.61,167657.0,,,,,,,,,3022.0,山西证券,,,,,,,2790.0,山西证券,,,,,,,3456.0,山西证券,,,,,,,,,,,,,,,3301.0,山西证券,,,,,,,3218.0,山西证券,,,,,,,,,,,,,,,3365.0,山西证券,,,,,,,3475.0,山西证券,,,,,,,3393.0,山西证券,,,,,,,3473.0,山西证券,,,,,,,3383.0,山西证券,,,,,,
1948,2379,宏创控股,铝,山东,903.03,5.97,9.26,135252.31,69773.78,15343.5,56846.86,0.61,0.001,1.35,3.38,20100331,-25818.15,-0.28,3.4,-94.97,1.8,0.38,44722.0,1106.0,宏创控股,1.7725,50.7757,0.9369,96.0615,0.152,592.1053,1370.0,宏创控股,4.0883,44.0281,1.7722,101.5687,0.3645,493.8272,769.0,宏创控股,9.2171,29.2934,4.351,62.0547,0.5451,495.322,1041.0,宏创控股,6.5663,54.8254,5.8082,61.9813,0.7093,507.5426,252.0,宏创控股,0.6983,128.8844,4.0699,22.1136,0.124,725.8065,242.0,宏创控股,1.6964,106.1071,9.7669,18.4296,0.2782,647.0165,275.0,宏创控股,1.9251,140.2525,12.2732,21.9992,0.4876,553.7326,347.0,宏创控股,4.2714,84.2815,15.772,22.8253,0.7892,456.1581,365.0,宏创控股,1.4882,60.4757,3.2488,27.7025,0.325,276.9231,355.0,宏创控股,3.3258,54.1223,7.7563,23.2069,0.754,238.7268,357.0,宏创控股,3.9536,68.2922,11.6789,23.1186,1.2005,224.9063,349.0,宏创控股,6.039,59.6125,17.1509,20.9902,1.6681,215.8144,444.0,宏创控股,1.2205,73.7403,3.0331,29.6726,0.4289,209.8391
