,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,year,quanter
2407,600070,浙江富润,18.0274,19.9696,2.1544,167.0999,1.1757,306.2006,2015,4
2408,300740,御家汇,16.5192,21.7928,2.1527,167.2318,2.5073,143.5807,2015,4
2409,601611,中国核建,3.4959,102.9778,2.1493,167.4964,1.011,356.0831,2015,4
2410,002829,星网宇达,2.7439999999999998,131.1953,2.1466,167.7071,0.9295,387.305,2015,4
2411,603520,司太立,7.7417,46.5014,2.1463,167.7305,1.581,227.704,2015,4
2412,300317,珈伟股份,2.325,154.8387,2.1436,167.9418,0.8824,407.9782,2015,4
2413,002308,威创股份,4.5434,79.2358,2.1331,168.7685,0.6898,521.8904,2015,4
2414,603680,今创集团,3.1068,115.8749,2.1317,168.8793,1.0799,333.3642,2015,4
2415,002373,千方科技,2.6171,137.5568,2.1302,168.9982,0.5710000000000001,630.4729,2015,4
2416,002919,名臣健康,19.7935,18.1878,2.13,169.0141,1.6941,212.5022,2015,4
2417,300109,新开源,6.263999999999999,57.4713,2.1297,169.0379,1.0886,330.7,2015,4
2418,002269,美邦服饰,26.0873,13.7998,2.1291,169.0855,1.6319,220.6018,2015,4
2419,300386,飞天诚信,13.7787,26.1273,2.1288,169.1094,0.5739,627.2869999999999,2015,4
2420,603179,新泉股份,3.7796,95.2482,2.1287,169.1173,1.1803,305.0072,2015,4
2421,000821,京山轻机,3.5164,102.3774,2.1261,169.3241,0.8559,420.6099,2015,4
2422,300508,维宏股份,13.1146,27.4503,2.1261,169.3241,1.5166,237.3731,2015,4
2423,300077,国民技术,1.9989,180.0991,2.1254,169.3799,0.2195,1640.0911,2015,4
2424,300529,健帆生物,11.4467,31.4501,2.1227,169.5953,1.4313,251.5196,2015,4
2425,002879,长缆科技,1.9313,186.4029,2.1225,169.6113,0.8429,427.0969,2015,4
2426,300067,安诺其,4.9995,72.0072,2.1221,169.6433,0.9875,364.55699999999996,2015,4
2427,600889,南京化纤,23.6532,15.2199,2.1221,169.6433,1.5815,227.632,2015,4
2428,300584,海辰药业,13.0576,27.5702,2.1147,170.2369,2.1186,169.9235,2015,4
2429,600860,京城股份,3.1785,113.26100000000001,2.1071,170.8509,1.0170000000000001,353.9823,2015,4
