,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
113,300707,威唐工业,0.93,41.77,4.2,24.86,0.97,5443.84,49.72,,09-20
114,603829,洛凯股份,0.44,15.79,2.62,17.71,0.21,5220.58,20.64,,09-20
115,002905,金逸影视,1.55,-20.51,,25.51,3.5,19547.7,-20.62,,09-20
116,300708,聚灿光电,0.31,151.6,2.43,13.68,0.65,6060.85,158.82,,09-19
117,603499,翔港科技,0.6,6.04,3.44,19.22,1.28,4527.14,6.05,,09-18
118,002906,华阳集团,0.74,64.44,,13.05,,29500.54,62.83,,09-18
119,603110,东方材料,0.79,-4.82,,21.01,0.88,6104.79,-4.03,,09-18
120,603499,翔港科技,0.6,6.04,3.44,19.22,1.28,4527.14,6.05,,09-18
121,603103,横店影视,0.89,3.49,2.38,43.78,1.45,35601.79,3.38,,09-13
122,603136,天目湖,1.15,27.78,,24.57,3.49,6928.83,28.23,,09-13
123,300706,阿石创,0.61,19.61,3.45,19.5,0.28,3602.55,36.77,,09-13
124,300705,九典制药,0.63,14.55,3.68,17.93,0.63,5452.73,22.14,,09-12
125,002902,铭普光磁,0.86,11.69,5.14,18.34,0.89,9065.2,12.01,,09-12
126,603378,亚士创能,0.84,5.0,4.07,22.98,0.9,12240.08,5.03,,09-11
127,601086,国芳集团,0.18,-14.29,2.34,8.1,0.47,9183.12,-12.0,,09-11
128,603367,辰欣药业,0.7,0.0,,11.28,0.83,24688.19,0.01,,09-11
129,300703,创源文化,1.26,106.56,3.14,48.8,1.48,7557.78,108.1,,09-06
130,603157,拉夏贝尔,1.08,-12.2,,15.46,1.43,53196.3,-13.54,,09-05
131,300654,世纪天鸿,0.45,-6.25,3.55,13.48,0.92,3131.85,-7.71,,09-05
132,603363,傲农生物,0.25,150.0,1.31,21.39,0.36,9137.55,170.53,,09-05
133,002901,大博医疗,0.61,3.39,1.59,41.87,0.58,21932.82,16.35,,09-05
134,603922,金鸿顺,1.11,30.59,5.28,23.44,1.12,10638.45,30.68,,09-04
135,600903,贵州燃气,0.15,114.29,3.26,6.73,0.5,9957.56,117.62,,09-04
136,603963,大理药业,0.83,-17.0,,28.38,1.18,6216.57,-0.2,,09-04
137,002900,哈三联,1.11,5.71,5.11,22.69,1.46,17518.28,5.34,,09-04
138,603055,台华新材,0.47,422.22,2.91,17.64,1.66,22755.82,449.71,,09-01
139,603106,恒银金融,0.69,1.47,3.49,21.78,0.45,14390.75,1.82,,08-31
140,300701,森霸传感,0.78,30.0,2.85,30.46,0.97,4684.21,29.73,,08-31
141,603533,掌阅科技,0.21,110.0,,11.16,0.45,7720.96,161.14,,08-30
142,300702,天宇股份,1.36,142.86,6.75,22.25,1.83,12233.77,142.95,,08-30
143,002899,英派斯,0.95,11.76,4.82,21.42,1.01,8518.96,11.83,,08-28
144,603321,梅轮电梯,0.39,-20.41,2.18,20.38,0.22,9061.55,-19.17,,08-28
145,603648,畅联股份,0.47,0.0,3.13,16.27,0.47,13041.71,9.47,,08-24
146,603386,广东骏亚,0.4,-2.44,,25.45,0.48,6043.95,-2.76,,08-22
147,300700,岱勒新材,0.64,30.61,3.81,18.22,0.3,3929.99,28.59,,08-22
148,002898,赛隆药业,0.51,-7.64,2.12,25.65,0.66,6124.87,-3.27,,08-21
149,002897,意华股份,1.24,16.98,6.68,20.22,1.47,9910.4,16.95,,08-21
150,603277,银都股份,0.72,44.0,,46.45,0.63,24197.6,44.06,10派0.75,08-21
151,603882,金域医学,0.44,15.79,2.83,16.75,0.75,17003.52,29.37,,08-21
152,300697,电工合金,0.46,2.7,3.28,16.49,-0.65,5485.46,2.83,,08-16
153,603527,众源新材,0.8,19.4,4.05,21.61,0.76,7448.5,21.23,10派2.2,08-16
154,002896,中大力德,0.78,44.44,4.55,18.73,1.37,4675.58,53.17,,08-16
155,300699,光威复材,0.72,12.5,5.12,15.19,0.07,19934.3,13.01,,08-15
156,603183,建研院,0.83,22.06,4.98,18.17,0.75,5497.37,32.12,,08-15
157,603500,祥和实业,0.78,-21.21,3.82,22.79,0.81,7412.32,-16.98,,08-15
158,300698,万马科技,0.37,8.82,1.83,22.34,0.16,3691.57,9.33,,08-14
159,603079,圣达生物,1.02,-29.66,,12.98,1.22,6093.56,-29.72,,08-09
160,300696,爱乐达,1.32,29.41,5.53,26.5,0.12,6818.36,35.3,,08-09
161,603813,原尚股份,0.62,14.81,4.88,13.56,0.79,4095.34,26.29,,08-08
162,002893,华通热力,0.55,0.0,3.6,15.78,2.4,4947.82,-0.2,,08-07
163,603127,昭衍新药,0.84,5.0,4.24,22.1,1.94,5169.25,5.12,,08-07
164,300695,兆丰股份,3.97,76.44,9.31,46.35,3.91,19866.78,76.25,,08-07
165,002895,川恒股份,0.34,4.27,,8.2,0.52,12233.42,4.26,,08-07
166,300693,盛弘股份,0.93,27.4,3.68,29.5,0.19,6386.16,48.5,,07-31
167,300692,中环环保,0.58,16.0,5.58,10.9,0.99,4618.78,40.74,,07-31
168,002892,科力尔,1.02,13.33,3.7,31.59,0.96,6751.32,13.1,,07-31
169,603129,春风动力,0.88,23.94,3.87,25.42,2.47,8826.78,48.89,,07-31
170,603181,皇马科技,0.6,-20.0,4.4,15.13,0.98,9013.0,39.29,,07-31
171,002891,中宠股份,0.9,21.62,4.32,23.42,0.89,6727.5,20.81,,07-31
172,601949,中国出版,0.4,-11.11,2.95,14.39,0.3,58098.97,-11.51,,07-31
173,603976,正川股份,0.87,16.0,6.36,14.57,0.32,7051.13,16.17,,07-31
174,603557,起步股份,0.42,7.69,2.29,19.97,0.24,17566.54,16.62,,07-31
175,300689,澄天伟业,0.83,53.7,5.26,17.52,1.28,4257.77,54.65,,07-27
176,300688,创业黑马,0.79,618.18,3.46,26.18,0.84,4053.8,660.68,,07-27
177,300690,双一科技,2.07,5.08,7.52,30.97,2.0,10770.27,5.24,,07-26
178,603602,纵横通信,0.9,11.11,5.29,18.32,1.96,5370.69,10.67,,07-25
179,300691,联合光电,1.17,58.11,6.06,21.38,0.61,7510.4,68.7,,07-25
180,603978,深圳新星,2.21,61.31,11.05,22.27,1.41,13279.35,61.45,,07-24
181,603619,中曼石油,1.09,109.62,3.55,36.44,0.67,39412.08,109.02,,07-24
182,603359,东珠景观,1.09,17.2,7.15,16.42,1.44,18523.34,22.48,,07-24
183,603721,中广天择,0.53,3.92,4.44,12.8,-0.05,4005.26,5.14,,07-24
184,300687,赛意信息,1.37,90.28,4.43,36.47,0.78,8199.95,90.27,,07-21
185,300685,艾德生物,1.12,220.0,5.13,24.43,0.54,6703.39,217.92,,07-20
186,002890,弘宇股份,0.76,-36.67,5.83,13.36,0.77,3777.33,-37.04,,07-20
187,603458,勘设股份,1.72,49.57,8.71,21.43,3.32,16058.92,50.6,,07-20
188,603535,嘉诚国际,0.92,43.75,6.5,15.31,0.65,10393.2,44.02,,07-19
189,300683,海特生物,2.03,86.24,8.99,23.62,1.86,15705.34,88.43,,07-19
190,603860,中公高科,1.08,14.89,5.79,19.54,1.1,5392.97,14.5,,07-19
191,603880,南卫股份,0.69,1.47,3.37,21.06,1.32,5198.04,1.44,,07-18
192,300686,智动力,0.63,23.53,3.56,19.22,1.64,5890.56,23.69,,07-17
193,603725,天安新材,0.65,35.42,3.75,19.0,0.35,7188.33,36.06,,07-14
194,603825,华扬联众,0.86,32.31,5.32,15.45,-1.46,10267.35,31.76,,07-13
195,603357,设计总院,0.8,37.93,3.25,28.26,0.76,19576.35,39.66,,07-12
196,300682,朗新科技,0.34,70.0,2.25,15.4,0.15,12208.7,70.24,,07-12
197,300681,英搏尔,1.15,-31.95,4.71,27.91,0.52,6537.52,-29.16,,07-12
198,300680,隆盛科技,0.64,18.52,3.94,16.82,0.96,3251.39,17.32,,07-11
199,300679,电连技术,3.98,56.08,11.19,41.63,3.11,35862.03,58.72,,07-11
200,603233,大参林,1.19,-3.25,3.66,37.96,1.38,43018.87,8.79,,07-11
201,603063,禾望电气,0.73,-20.65,3.87,20.41,0.48,26211.34,-21.17,,07-10
202,002889,东方嘉盛,0.87,8.75,7.44,12.49,-3.04,9056.9,10.68,,07-10
203,601326,秦港股份,0.07,-74.07,,3.14,0.3,36502.91,-72.85,,07-04
204,001965,招商公路,0.67,,,,,293863.5,-5.13,,07-04
