,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0,name_y,eps_2015q1,eps_yoy_2015q1,bvps_2015q1,roe_2015q1,epcf_2015q1,net_profits_2015q1,profits_yoy_2015q1,distrib_2015q1,report_date_2015q1
32,600738,兰州民百,百货,甘肃,29.14,3.68,7.83,503740.81,208931.2,36108.51,38846.9,0.5,0.073,2.42,3.5,19960802,64793.8,0.83,8.73,24.54,37.44,13.5,21086.0,933,兰州民百,0.08,-8.79,3.06,2.74,-0.22,3046.56,-9.52,,04-29
33,300136,信维通信,通信设备,深圳,44.76,7.45,9.83,550644.0,307382.03,50157.59,35814.15,0.36,0.214,3.02,12.66,20101105,174831.31,1.78,20.03,2.82,37.32,24.36,40375.0,1849,信维通信,0.1,26.52,2.57,3.81,0.06,2612.13,151.59,,04-25
34,300394,天孚通信,通信设备,江苏,34.9,1.64,1.86,93299.56,57599.71,25105.42,22174.1,1.19,0.14800000000000002,4.5,4.58,20150217,37530.17,2.02,13.59,-13.62,50.28,27.69,15249.0,1984,天孚通信,0.31,8.68,8.54,4.7,0.25,2256.65,33.05,,04-25
35,600540,新赛股份,种植业,新疆,220.15,4.71,4.71,217189.2,117104.05,70830.5,80475.07,1.71,0.006,1.33,3.71,20040107,-68898.5,-1.46,72.1,-26.81,7.24,0.76,25926.0,1445,新赛股份,-0.02,-312.0,,-0.6,,-769.15,-364.09,,04-28
36,300177,中海达,通信设备,广东,67.08,3.17,4.47,247853.42,153580.77,17483.86,87793.49,1.96,0.048,3.85,3.33,20110215,40117.18,0.9,40.57,336.11,49.02,8.86,46253.0,2414,中海达,0.0,-95.41,2.54,0.11,-0.22,115.24,-90.6,,04-23
37,300369,绿盟科技,软件服务,北京,0.0,5.98,8.03,364524.59,273117.25,11103.1,140499.66,1.75,-0.035,3.54,3.58,20140129,79444.81,0.99,24.44,47.27,75.96,-17.26,28176.0,1799,绿盟科技,-0.33,6.74,9.98,-4.73,-0.45,-4479.2,79.24,,04-25
38,300511,雪榕生物,种植业,上海,12.44,2.32,4.34,378445.75,53936.06,241003.09,60614.2,1.4,0.258,3.46,3.71,20160504,64971.23,1.5,106.35,132.28,27.9,20.7,17349.0,183,雪榕生物,0.19,,4.74,4.07,0.34,2173.71,,,06-17
39,2768,国恩股份,塑料,山东,35.64,0.87,2.71,281417.91,196758.81,62954.92,92642.06,3.42,0.22,6.62,4.39,20150630,54059.98,1.99,75.37,63.38,19.23,9.48,13584.0,126,国恩股份,0.29,,,5.26,,1734.13,,,04-22
40,300433,蓝思科技,元器件,湖南,135.73,4.44,26.29,3482400.5,1224221.63,1722871.25,317110.25,1.21,0.042,6.43,3.53,20150318,926382.13,3.52,9.39,-50.15,27.5,2.45,45257.0,1806,蓝思科技,0.67,36.73,13.84,5.33,0.8,40567.18,37.41,,04-25
41,300081,恒信东方,通信设备,河北,12.03,3.16,5.31,262430.88,148799.69,3715.6,152016.73,2.86,0.28300000000000003,4.53,3.0,20100520,34128.06,0.64,96.75,2012.16,33.29,97.2,22949.0,2423,恒信东方,-0.05,-54.55,5.79,-0.91,0.01,-706.35,-52.32,,04-23
42,300296,利亚德,半导体,北京,32.95,15.59,25.43,1194835.5,734131.13,82750.93,273079.03,1.07,0.12,2.8,5.64,20120315,259472.41,1.02,61.3,76.55,36.72,16.74,22851.0,2501,利亚德,0.11,57.14,3.52,3.04,0.07,3404.53,219.42,,04-23
43,600428,中远海特,水运,广东,125.47,16.9,21.47,2041700.75,255032.5,1570878.88,427764.0,1.99,0.009000000000000001,4.38,1.05,20020418,256583.02,1.2,1.23,77.95,13.57,1.21,117829.0,1278,中远海特,0.15,-1975.0,,3.81,,25352.84,-2031.75,,04-28
