,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,mbrg_2015q1,nprg_2015q1,nav_2015q1,targ_2015q1,epsg_2015q1,seg_2015q1,Unnamed: 0_y,name_x,mbrg_2015q2,nprg_2015q2,nav_2015q2,targ_2015q2,epsg_2015q2,seg_2015q2,Unnamed: 0_x,name_y,mbrg_2015q3,nprg_2015q3,nav_2015q3,targ_2015q3,epsg_2015q3,seg_2015q3,Unnamed: 0_y,name_x,mbrg_2015q4,nprg_2015q4,nav_2015q4,targ_2015q4,epsg_2015q4,seg_2015q4,Unnamed: 0_x,name_y,mbrg_2016q1,nprg_2016q1,nav_2016q1,targ_2016q1,epsg_2016q1,seg_2016q1,Unnamed: 0_y,name_x,mbrg_2016q2,nprg_2016q2,nav_2016q2,targ_2016q2,epsg_2016q2,seg_2016q2,Unnamed: 0_x,name_y,mbrg_2016q3,nprg_2016q3,nav_2016q3,targ_2016q3,epsg_2016q3,seg_2016q3,Unnamed: 0_y,name_x,mbrg_2016q4,nprg_2016q4,nav_2016q4,targ_2016q4,epsg_2016q4,seg_2016q4,Unnamed: 0_x,name_y,mbrg_2017q1,nprg_2017q1,nav_2017q1,targ_2017q1,epsg_2017q1,seg_2017q1,Unnamed: 0_y,name_x,mbrg_2017q2,nprg_2017q2,nav_2017q2,targ_2017q2,epsg_2017q2,seg_2017q2,Unnamed: 0_x,name_y,mbrg_2017q3,nprg_2017q3,nav_2017q3,targ_2017q3,epsg_2017q3,seg_2017q3,Unnamed: 0_y,name_x,mbrg_2017q4,nprg_2017q4,nav_2017q4,targ_2017q4,epsg_2017q4,seg_2017q4,Unnamed: 0,name_y,mbrg_2018q1,nprg_2018q1,nav_2018q1,targ_2018q1,epsg_2018q1,seg_2018q1
1282,600369,西南证券,证券,重庆,24.41,56.45,56.45,6726012.0,0.0,34032.78,776734.31,1.38,0.046,3.43,1.32,20010109,287514.63,0.51,41.54,996.26,0.0,36.49,142845.0,131,西南证券,,252.7342,20.3131,112.8396,209.0909,17.5839,92,西南证券,,420.8236,22.7769,192.6199,405.0,20.5892,129,西南证券,,244.4043,9.1611,91.4498,66.6667,12.1559,212,西南证券,,163.2216,13.7639,23.2754,28.5714,13.5354,1970,西南证券,,-61.9498,2.6162,10.3294,-82.3529,2.4755,2290,西南证券,,-69.1329,-0.0793,-17.3109,-85.1485,-0.1424,2361,西南证券,,-65.0023,6.7697,-2.3778,-65.4545,6.6063,2935,西南证券,,-74.2543,0.3963,-1.045,-74.6032,-0.0866,2509,西南证券,,-93.9924,5.931,-9.1242,-93.0,5.8092,2718,西南证券,,-57.587,2.4511,-14.2819,-60.0,2.2079,2745,西南证券,,-44.5189,2.5125,-18.9475,-47.3684,2.2333,2612,西南证券,,-24.3036,1.9366,-10.2893,-25.0,2.0133,44,西南证券,,1075.2868,0.9485,1.9389,1090.4762,1.3444
1283,300329,海伦钢琴,文教休闲,浙江,39.93,2.51,2.51,101715.97,69638.03,17270.63,34978.73,1.39,0.057,3.38,2.69,20120619,21777.35,0.87,22.57,42.84,28.75,12.69,28930.0,1378,海伦钢琴,12.2557,-8.5035,3.5601,-0.255,-7.2727,3.6505,1133,海伦钢琴,6.4889,8.3751,3.6845,0.2238,9.0909,4.2785,660,海伦钢琴,3.8536,31.1814,4.525,5.8895,-28.5714,5.0926,1176,海伦钢琴,4.5256,20.1916,42.0921,33.0755,-32.3684,43.1408,717,海伦钢琴,-3.4972,30.499,41.9492,35.0782,-30.0,42.9918,1134,海伦钢琴,2.3189,12.9304,42.1022,31.2515,-40.8333,42.4189,1528,海伦钢琴,4.7363,4.9787,41.2303,32.0017,4.5,41.6317,1914,海伦钢琴,5.4504,5.9860000000000015,3.4555,4.4383,3.1128,3.5258,1475,海伦钢琴,10.9152,12.5104,3.5581,6.3565,11.4846,3.6187,1534,海伦钢琴,15.9506,14.442,3.6971,6.3092,13.3803,3.744,1416,海伦钢琴,19.4899,19.0752,3.9962,7.6249,17.8947,3.9975,1318,海伦钢琴,20.6797,23.3362,4.3034,7.9441,23.0943,4.336,801,海伦钢琴,22.5688,43.1845,4.7822,7.8015,42.9648,4.8118
1284,2500,山西证券,证券,山西,64.19,28.29,28.29,5887315.0,0.0,39345.15,671329.63,2.37,0.031,4.44,1.8,20101115,150306.63,0.53,58.16,-37.47,0.0,6.61,167657.0,127,山西证券,,273.2022,12.9016,119.2643,270.5653,12.0751,97,山西证券,,409.3118,22.8562,233.8884,377.8,22.3312,132,山西证券,,237.9732,19.2716,112.4711,228.6,18.1283,226,山西证券,,152.62,67.8059,75.2189,147.8261,71.5204,2088,山西证券,,-86.7961,56.0918,16.5042,-90.1631,58.6083,2338,山西证券,,-82.8198,39.7792,-18.4893,-86.3332,41.7002,2385,山西证券,,-71.9163,42.1013,0.4881,-76.4658,44.7275,2892,山西证券,,-64.3859,-1.4473,-0.2552,-70.1754,-2.4524,371,山西证券,,149.07299999999995,1.1822,13.5763,165.2406,0.6052,1280,山西证券,,23.0779,3.4588,6.2586,28.4839,2.6063,1509,山西证券,,15.8983,4.2604,14.2333,15.6034,2.7285,2487,山西证券,,-16.1459,1.7935,7.4768,-17.6471,1.8227,2542,山西证券,,-46.9535,0.6383,15.712,-37.5,0.7536
1285,2150,通润装备,机械基件,江苏,44.15,2.74,2.74,143687.22,106150.01,31282.89,42333.76,1.54,0.045,4.11,1.95,20070810,36019.9,1.31,-2.59,-36.47,22.55,4.57,14896.0,853,通润装备,5.1245,14.1224,6.4444,-1.0638,25.0,6.774,1144,通润装备,-1.5707,7.7941,6.9592,1.7806,0.0,6.3909,892,通润装备,-3.4152,18.4072,7.7658,2.1395,16.6667,7.1724,1326,通润装备,-5.3623,15.9481,7.7802,1.1975,17.3913,7.129,1048,通润装备,-6.9633,11.527,7.3311,-0.4456,20.0,7.2046,892,通润装备,-5.3037,24.1981,6.4009,-3.9431,25.0,6.2148,954,通润装备,1.6031,26.9999,7.2716,2.7677,23.8095,7.0165,726,通润装备,10.4986,51.6453,68.7337,51.7113,44.4444,69.8204,811,通润装备,34.4226,45.651,69.0427,54.6442,16.6667,69.985,1395,通润装备,34.2353,18.9585,70.6861,58.3626,6.6667,71.7406,1950,通润装备,27.8523,3.7369,68.1748,48.2753,-11.5385,68.6857,2594,通润装备,17.4863,-23.4799,7.8449,5.2949,-33.3333,5.7062,2353,通润装备,-2.5863,-29.4897,6.5746,4.114,-28.5714,4.4072
1286,2060,粤 水 电,建筑施工,广东,45.49,12.02,12.02,1776747.63,726311.69,633401.38,67991.9,0.57,0.019,2.43,1.41,20060810,89339.72,0.74,21.86,10.97,8.99,1.25,68491.0,952,粤水电,2.4568,10.3893,1.9284,11.439,6.0,1.5615,1335,粤水电,6.9060000000000015,1.2488,3.6817,10.635,2.4213,3.8188,1283,粤水电,11.3613,1.1425,3.9253,15.3862,1.6364,4.2956,1525,粤水电,11.3842,10.3284,4.0899,15.759,10.4039,4.3552,1308,粤水电,14.0203,1.5112,3.9905,13.7056,1.5723,4.2532,1513,粤水电,1.4865,0.0844,13.2606,15.0088,0.9456,11.5629,1704,粤水电,0.117,-1.6369,11.958,13.327,0.805,2.2265,1258,粤水电,-5.43,24.5033,5.0887,7.6873,24.1685,5.0723,1712,粤水电,-7.2549,3.8301,4.8532,10.8708,5.2632,4.8441,1947,粤水电,11.7256,2.1625,-3.3658,12.186,-49.8829,-2.6829,1769,粤水电,16.062,7.8222,-2.2124,10.4741,-47.9148,5.9695,1504,粤水电,4.8667,17.3051,5.5982,11.4466,-41.2946,4.8114,1375,粤水电,21.8584,15.802,8.1438,10.6808,-44.7059,6.0749
1287,601636,旗滨集团,玻璃,湖南,11.94,25.45,26.91,1321578.13,246243.09,785557.44,183193.63,0.68,0.13,2.77,2.06,20110812,290701.5,1.08,1.43,31.26,33.86,19.43,93310.0,1677,旗滨集团,-10.7319,-35.7322,66.8227,20.3544,-46.7532,66.8227,1701,旗滨集团,20.9556,-20.6959,32.7595,28.9841,-33.522,32.7595,1809,旗滨集团,31.1402,-30.1396,28.7369,31.5857,-78.34100000000002,28.7369,2397,旗滨集团,39.0904,-22.4945,27.9277,33.7689,-75.1342,27.9277,1402,旗滨集团,65.7781,-3.8735,-2.8831,28.3733,-68.0488,-2.8831,477,旗滨集团,29.7435,62.4164,1.5368,-0.7631,-43.14100000000001,1.5368,156,旗滨集团,30.8275,268.3109,8.7681,-4.8282,264.0426,8.7681,109,旗滨集团,34.6554,387.1132,17.5842,-0.6781,379.8561,17.5935,114,旗滨集团,33.1532,641.7522,22.0899,-7.8559,618.3206,22.1158,241,旗滨集团,16.0913,251.9749,18.8312,-5.6817,237.9368,18.8312,533,旗滨集团,15.8831,90.6237,19.9148,3.6034,84.6289,19.9148,1002,旗滨集团,8.9649,36.8081,17.4816,2.8346,33.5832,17.4724,996,旗滨集团,1.435,31.7215,18.1563,5.9542,34.5377,18.1313
1288,753,漳州发展,汽车服务,福建,31.59,8.84,9.91,498439.41,340321.41,41886.51,65842.8,0.66,0.027000000000000003,2.21,1.56,19970626,48903.09,0.49,1.23,172.36,16.94,3.98,75234.0,1950,漳州发展,-9.0956,-86.9645,58.479,16.5817,-85.0,74.8985,2301,漳州发展,-11.104,-231.4468,56.2838,13.0327,-178.5714,72.1829,2339,漳州发展,-6.5475,-312.8926,-4.4676,-14.4931,-195.0,-0.6689,3046,漳州发展,-7.8443,-243.2771,-12.5181,-4.8241,-159.0062,-10.0376,125,漳州发展,10.7689,281.9572,-11.4684,10.2598,50.0,-9.6832,2671,漳州发展,-6.2811,,-9.763,14.6281,-109.0909,-7.7174,2878,漳州发展,-3.8871,,-4.6566,29.0584,-131.5789,-5.6901,3516,漳州发展,0.6766,,54.3695,41.5461,-343.1579,60.3181,1004,漳州发展,-15.0687,33.1561,52.9974,22.1084,11.1111,60.124,261,漳州发展,-9.3257,227.453,51.42,20.3072,130.0,58.3701,2169,漳州发展,-10.4681,-4.3217,50.492,11.2214,0.0,57.3483,2944,漳州发展,-12.9001,-60.1507,-2.2524,-8.1066,-62.7706,2.6126,243,漳州发展,1.2285,184.4992,1.406,-5.2532,170.0,3.4005
1289,300306,远方信息,电器仪表,浙江,51.79,1.36,2.87,223573.3,94816.65,26665.77,112787.42,3.92,0.066,6.87,2.0,20120329,49809.62,1.73,-2.91,-22.08,61.24,18.83,12506.0,1555,远方信息,7.9363,-24.5336,6.5711,5.7186,-27.2727,6.5711,1898,远方信息,-9.2433,-37.2185,5.6409,4.8264,-67.5676,5.5405,1878,远方信息,-7.4322,-36.7099,5.1022,4.1677,-68.6275,5.0034,2639,远方信息,-11.7567,-38.2077,3.2705,3.8361,-69.3333,3.1661,677,远方信息,10.7729,33.9672,3.6127,4.7943,-37.5,3.5043,667,远方信息,16.7413,40.0919,4.1585,5.0645,33.3333,4.144,567,远方信息,22.0987,57.8335,5.1134,6.8599,56.25,5.0927,666,远方信息,21.0648,56.5068,72.4501,98.5855,56.5217,72.1632,508,远方信息,122.8082,90.8646,72.5509,83.5313,80.0,72.2685,598,远方信息,151.1322,76.426,74.2511,81.90899999999998,50.0,73.9576,641,远方信息,125.8105,69.8804,73.7616,77.0298,44.0,73.4828,756,远方信息,149.7692,52.5007,9.4533,-0.9218,25.0,5.5586,2297,远方信息,-2.9059,-25.6184,8.965,5.2573,-22.2222,5.1672
1290,2177,御银股份,电脑设备,广东,227.02,6.45,7.61,195484.69,79318.1,24791.1,2967.95,0.04,0.005,2.23,2.06,20071101,84450.38,1.11,-22.85,-77.71,15.58,2.93,98892.0,1232,御银股份,14.9958,0.5157,7.0183,9.9326,0.0,7.0183,1752,御银股份,17.3874,-24.467,6.3619,21.4548,-27.6,6.3619,1988,御银股份,18.5979,-48.5063,3.0754,20.6056,-50.0,3.0754,2745,御银股份,12.894,-47.3919,2.7577,24.8303,-47.4048,2.7577,1316,御银股份,5.0135,1.3017,2.7277,10.4851,0.0,2.7277,1426,御银股份,2.5263,2.5929,2.7535,-3.1184,2.6243,2.7535,2254,御银股份,-26.9613,-45.3001,2.5361,-13.0493,-44.875,2.5361,2902,御银股份,-29.7229,-66.5265,1.4114,-6.2504,-67.1053,1.4114,2373,御银股份,-36.0667,-48.8269,0.4065,-9.9009,-50.0,0.4065,2757,御银股份,-44.6308,-68.2091,-0.8941,-11.9416,-68.2369,-0.8941,2840,御银股份,-34.1653,-62.3321,0.1372,3.3331,-62.3583,0.1372,2797,御银股份,-26.1015,-40.7774,0.8140000000000001,-4.884,-39.6667,0.8140000000000001,2731,御银股份,-22.8515,-77.71,0.0104,0.2422,-74.5,0.0104
1291,300304,云意电气,汽车配件,江苏,43.97,8.39,8.72,209036.02,136550.06,49808.12,37746.85,0.43,0.033,2.01,2.86,20120321,47615.34,0.55,-6.29,-17.52,34.92,18.29,73128.0,1449,云意电气,10.7484,-14.231,4.6332,4.1945,-57.1429,5.4434,1345,云意电气,5.9295,0.8623,3.1037,3.04,-50.0,3.5671,1589,云意电气,-0.9326,-15.875,2.0869,0.5752,-57.377,2.4154,2230,云意电气,0.1894,-14.0255,2.8593,3.852,-14.6341,3.2254,716,云意电气,12.9509,30.5923,3.3458,3.8589,33.3333,3.7547,702,云意电气,11.7262,37.1989,54.9629,49.0968,30.4348,60.1268,585,云意电气,23.0065,55.3078,56.1667,52.3634,38.4615,61.0106,662,云意电气,24.1271,56.9918,56.3532,63.2043,45.7143,61.1648,869,云意电气,31.7256,41.5396,53.9547,54.7587,-66.6667,58.412,1368,云意电气,27.392,20.0135,6.5241,9.1358,-70.0,6.7981,1251,云意电气,23.4303,25.7595,9.3721,9.3188,-66.6667,10.1029,1203,云意电气,19.7887,28.1844,7.786,1.3755,-68.6275,8.2956,2214,云意电气,-6.2884,-19.462,9.1947,7.0948,-25.0,9.8221
1292,600867,通化东宝,生物制药,吉林,46.67,16.44,17.11,503956.44,255297.59,114367.97,121477.7,0.71,0.16,2.81,10.65,19940824,140407.59,0.82,27.23,30.2,73.14,38.06,31991.0,393,通化东宝,21.262,52.2559,9.121,15.1319,33.3333,9.3398,349,通化东宝,19.007,76.6797,11.1256,12.455,53.3333,11.3746,331,通化东宝,20.3925,77.7816,12.1799,16.0113,61.9048,12.4407,427,通化东宝,15.0187,77.2133,14.7426,28.141,59.2593,15.0424,690,通化东宝,13.2232,32.6977,15.4592,28.6478,16.6667,15.7422,973,通化东宝,14.1167,20.2104,15.8871,26.5303,0.0,16.727999999999998,911,通化东宝,19.3751,29.075,59.4973,35.5961,5.8824,60.6267,1106,通化东宝,22.2296,30.4331,59.1454,23.412,6.9767,60.1754,1051,通化东宝,25.2501,30.5319,57.1261,20.7116,7.1429,58.0475,1112,通化东宝,32.6921,30.5314,59.8931,20.515,4.3478,60.0933,1158,通化东宝,25.2788,29.6836,16.1572,4.9333,5.5556,16.226,1123,通化东宝,24.7467,31.4284,15.0098,1.6622,6.5217,14.9428,1035,通化东宝,27.2347,30.0993,15.9858,5.892,6.6667,15.9193
1293,601518,吉林高速,路桥,吉林,19.6,12.13,12.13,637190.38,59836.96,567922.44,31718.28,0.26,0.044,2.43,1.42,20100319,123320.52,1.02,-3.3,9.58,71.68,32.23,64121.0,1326,吉林高速,-0.3187,-5.4227,6.8206,20.9494,0.0,7.3086,1793,吉林高速,-12.4724,-27.0706,5.4686,32.9935,-25.0,5.7879,1640,吉林高速,-6.4736,-18.762,5.5521,28.9672,-20.0,5.831,2704,吉林高速,-7.0591,-43.4855,2.6002,23.4489,-47.619,2.5198,1919,吉林高速,-3.9144,-50.7628,1.0574,24.0228,-57.1429,0.7786,1719,吉林高速,28.8857,-11.6814,3.3508,16.2687,-11.1111,3.4904,1662,吉林高速,39.9797,0.5404,3.7821,15.775,8.3333,4.1924,1157,吉林高速,38.0011,28.4493,5.2594,12.0219,45.4545,5.9667,1369,吉林高速,12.3322,16.257,5.4143,10.2261,33.3333,6.3154,1262,吉林高速,14.4488,23.653,5.4207,-4.4323,25.0,6.4316,1016,吉林高速,33.3082,37.2037,6.5348,-10.671,46.1538,7.8779,969,吉林高速,25.6468,38.6491,7.1842,-10.947,50.0,8.9819,1332,吉林高速,-3.2961,17.4116,7.3431,-10.7481,0.0,8.9928
1294,2471,中超控股,电气设备,江苏,176.69,12.59,12.68,923728.81,717266.19,110429.9,2676.49,0.02,0.005,1.49,2.31,20100910,51603.28,0.41,23.1,-42.73,13.61,0.44,98771.0,1478,中超控股,9.8193,-17.1341,4.614,8.4195,5.75,3.4492,1636,中超控股,4.72,-16.6146,6.8279,3.834,1.0,4.5795,1724,中超控股,1.3431,-24.3343,5.5593,3.0254,0.9375,3.7922,2414,中超控股,6.1574,-23.5313,20.6321,38.341,-56.1,4.1552,1802,中超控股,9.7384,-36.4146,19.7197,47.0171,-77.0686,3.5533,1668,中超控股,23.5497,-9.3342,18.6729,41.9943,-64.934,5.1433,1127,中超控股,26.3869,18.9573,20.4771,39.117,-56.904,6.5315,1356,中超控股,20.3591,21.164,6.7942,1.086,0.5695,6.1704,2179,中超控股,1.0009,-25.8725,7.2737,-2.9001,-12.3711,6.0268,2294,中超控股,4.6426,-14.9849,6.9767,2.8646,-21.4118,5.0506,2324,中超控股,13.7664,-11.43,2.9562,7.1021,-14.7989,4.887,2517,中超控股,19.2656,-18.065,-0.2542,7.6524,-25.2548,3.8981,2659,中超控股,23.104,-65.0431,-0.669,11.4423,-42.3529,3.6233
1295,600279,重庆港九,港口,重庆,49.25,6.93,6.93,841742.81,293623.72,355763.41,208266.23,3.01,0.029,5.31,1.09,20000731,81288.06,1.17,16.49,-18.84,6.71,1.36,46630.0,1346,重庆港九,35.48699999999999,-6.6384,61.1673,45.3291,-28.9694,55.0782,1689,重庆港九,-3.5721,-19.642,59.9679,42.2326,-36.6643,54.4268,1683,重庆港九,3.0546,-21.879,58.678,47.8267,-41.1354,53.3726,2331,重庆港九,9.0098,-18.9351,-1.476,2.286,-22.7273,-2.3878,1625,重庆港九,-40.6922,-18.1546,-1.6119,-0.3126,-17.8431,-2.4824,1741,重庆港九,-25.4018,-12.6565,-1.5528,-5.3091,-44.1111,-2.4421,1574,重庆港九,-21.9803,2.9521,-1.2599,-2.8413,-29.4862,-2.1004,2109,重庆港九,6.4541,1.0249,1.5288,4.4465,-35.2941,1.3876,1431,重庆港九,395.0623,14.1817,1.6182,10.319,-18.1384,1.5128,763,重庆港九,377.815,53.2045,2.3976,19.0951,80.9145,2.2706,737,重庆港九,333.3229,57.6805,4.1148,20.405,81.0538,2.9347,144,重庆港九,187.375,325.0538,11.2975,11.1764,536.3636,12.6036,2152,重庆港九,16.8716,-15.5756,11.0795,2.258,-12.5364,12.4178
1296,600829,人民同泰,医药商业,黑龙江,21.69,5.8,5.8,478528.06,427085.59,29966.23,0.0,0.0,0.12,2.9,3.59,19940224,105358.72,1.82,-17.89,5.22,13.45,4.07,20304.0,101,人民同泰,294.7252,356.0146,-40.6423,6.707000000000002,235.4938,-38.4823,354,人民同泰,363.8849,74.5846,-37.6008,9.77,54.81100000000001,-35.7573,206,人民同泰,386.8167,141.105,-36.0707,20.7922,103.0848,-34.2382,84,人民同泰,412.3845,405.3421,-33.894,28.972,248.7627,-31.992,1025,人民同泰,-14.8495,12.6223,10.3678,8.384,1.2879,10.3678,820,人民同泰,-6.284,27.9888,11.5205,13.2572,20.1443,11.5205,646,人民同泰,-2.7206,48.0693,13.7873,6.3081,41.2236,13.7873,560,人民同泰,1.0803,69.3868,15.7743,13.646,61.6027,15.7743,1719,人民同泰,-9.8118,3.5068,-4.2497,10.5376,3.4514,-4.2497,1671,人民同泰,-11.3737,10.7898,-3.3501,0.18600000000000005,10.8083,-3.3501,1788,人民同泰,-5.5187,7.2652,-3.2030000000000003,8.2936,7.2602,-3.2030000000000003,1623,人民同泰,-11.0674,13.2227,-2.1695,0.6511,13.2231,-2.1695,1717,人民同泰,-17.8935,5.2167,18.0943,3.4406,5.2678,18.0943
1297,2555,三七互娱,互联网,安徽,19.7,11.62,21.48,902298.19,376938.13,29053.22,72591.67,0.34,0.191,2.87,5.25,20110302,322969.06,1.5,2.62,-5.3,71.62,24.69,49382.0,1,三七互娱,1687.02,31567.6276,313.9871,359.5803,6875.0,273.0219,1,三七互娱,1609.517,14911.6547,355.2273,426.3016,1188.6598,299.156,5,三七互娱,1430.6109,19626.329,387.9968,453.0067,1900.0,317.1479,25,三七互娱,678.4336,1472.7435,30.6168,35.3714,132.0,34.7333,594,三七互娱,17.7423,40.3351,25.6212,35.2565,-27.2401,36.8699,691,三七互娱,12.9951,38.1354,24.1607,33.1659,-6.8,38.279,899,三七互娱,12.1158,29.7328,24.3655,31.455,-9.75,41.2183,1046,三七互娱,12.6934,31.9974,27.4387,38.1308,-11.5517,26.9496,461,三七互娱,36.2834,107.4995,33.6898,43.0833,2.4631,31.615,596,三七互娱,26.798,76.7436,58.4183,60.8175,74.6781,57.9553,682,三七互娱,21.7267,64.137,57.3198,52.69300000000001,59.0028,56.7213,775,三七互娱,17.9298,50.9449,54.0795,43.4361,48.1481,55.1125,2037,三七互娱,2.6206,-8.2614,21.5795,28.3676,-8.1731,24.2022
1298,600392,盛和资源,小金属,山西,71.24,10.74,13.5,891401.38,671465.5,56885.7,251543.52,1.86,0.057,3.74,4.34,20030529,114678.61,0.85,47.03,138.54,13.99,5.6,96886.0,237,盛和资源,-25.334,118.0128,19.0208,14.3858,124.359,18.8583,305,盛和资源,8.9494,92.6234,19.1324,29.5612,194.4444,19.3927,1808,盛和资源,-5.9641,-30.1268,10.4015,50.2192,-67.7966,10.3563,2965,盛和资源,-27.4907,-90.5353,8.4105,24.6362,-95.9804,-3.7627,2178,盛和资源,-17.9342,-184.5505,5.2823,43.1681,-138.3333,-6.1567,2460,盛和资源,-26.3234,-195.2358,4.2293,28.0828,-142.024,-7.2308,2541,盛和资源,-19.8102,-365.4295,6.8693,4.4872,-386.2348,-5.1942,3042,盛和资源,24.858,-269.1645,-0.8798,9.696,-270.2439,-1.207,2835,盛和资源,550.9642,,256.9916,258.7939,-296.2733,297.7324,3197,盛和资源,450.7819,,266.5808,240.0955,-557.5509999999998,309.123,3258,盛和资源,644.3167,,294.9299,269.11,-550.7779,344.4481,3367,盛和资源,279.5079,,272.3496,231.7686,-856.1605,317.7117,318,盛和资源,47.0336,134.9912,5.461,2.6227,80.0633,6.3575
1299,2029,七 匹 狼,服饰,福建,20.94,7.55,7.56,849389.63,582744.0,35698.5,188004.77,2.49,0.111,7.35,1.26,20040806,224161.63,2.97,13.9,18.44,34.23,9.11,37821.0,1686,七匹狼,-2.3275,-36.3568,3.7018,0.8277,-40.0,4.0605,1760,七匹狼,10.4185,-25.0334,3.8614,16.1423,-25.0,4.338,1636,七匹狼,2.0985,-18.655,3.5206,12.2978,-20.0,3.9307,2043,七匹狼,3.9913,-4.8601,3.7809,6.9670000000000005,-5.2632,4.2901,1480,七匹狼,11.0535,-8.6959,4.3855,4.1869,0.0,4.2874,1618,七匹狼,1.2429,-6.4215,4.1487,-6.6112,-6.6667,3.964,1819,七匹狼,1.2869,-7.5134,3.7026,-2.2029,-8.3333,3.634,2153,七匹狼,6.1587,-0.8835,3.6685,7.0542,-2.7778,3.5139,1515,七匹狼,13.887,11.1285,3.8147,9.3646,0.0,3.6456,1376,七匹狼,12.0565,19.5527,4.0939999999999985,17.7046,14.2857,4.1004,1450,七匹狼,14.8115,18.0244,5.1143,4.516,18.1818,5.007,1311,七匹狼,16.8696,23.6434,5.1751,8.3756,20.0,4.8943,1309,七匹狼,13.8987,18.582,5.6031,8.2742,22.2222,5.2334
1300,601611,中国核建,建筑施工,上海,47.08,9.62,26.25,7666458.5,5997410.0,331820.22,118452.82,0.45,0.049,3.1,3.0,20160606,404499.94,1.54,10.38,17.82,8.52,1.46,139074.0,1233,中国核建,-2.2919,0.4507,11.8385,29.8961,,21.7901,1648,中国核建,-7.7975,-17.0735,12.2489,37.4045,,12.1409,1617,中国核建,-8.3204,-17.6828,9.6876,35.0975,,9.5687,1057,中国核建,-8.5506,24.437,47.1795,27.8217,18.75,47.6586,1685,中国核建,-6.1132,-23.2663,-100.0,-100.0,,-100.0,1416,中国核建,0.361,3.0039,80.7231,15.1465,,89.2649,1094,中国核建,1.4263,20.3529,81.8525,28.9031,,89.7201,2063,中国核建,1.0617,1.9925,39.997,16.6287,-13.1579,41.8812,1126,中国核建,4.9243,27.0042,,,0.0,,1520,中国核建,4.3715,14.8319,8.8292,16.7443,-8.3333,7.3307,1879,中国核建,7.0391,5.1199,8.4347,5.3789,-13.6364,6.7343,1858,中国核建,9.4883,7.773,18.1321,17.067,-3.0303,8.8493,1542,中国核建,10.3818,9.9322,16.6321,13.0559,25.0,8.8213
1301,601788,光大证券,证券,上海,20.14,39.07,46.11,20413318.0,0.0,81575.68,2361376.0,5.12,0.159,10.73,1.19,20090818,1202724.5,2.61,34.91,24.56,0.0,31.32,91146.0,65,光大证券,,523.7472,19.5268,162.2448,557.6523,19.9591,26,光大证券,,1113.8415,29.8418,233.6548,1180.0,26.3301,61,光大证券,,544.302,56.7705,139.4121,564.5769,54.1236,134,光大证券,,262.5747,59.3656,71.45,252.9003,56.8542,1967,光大证券,,-60.609,47.5577,20.8831,-65.4993,45.0,2289,光大证券,,-69.0979,26.1983,-27.8797,-72.8349,29.448,2345,光大证券,,-60.3832,21.6341,-15.9977,-64.6507,24.1186,2867,光大证券,,-60.2847,14.6453,-9.8621,-65.3882,16.5827,1797,光大证券,,1.5761,18.0367,-7.0245,-16.5684,20.1144,2316,光大证券,,-15.9896,23.9131,12.158,-30.7712,24.5622,2122,光大证券,,-2.6083,4.69,16.2446,-19.4008,4.7019,2096,光大证券,,1.6352,2.8497,15.8903,-11.4869,2.9244,1132,光大证券,,25.3443,3.0029,14.6877,24.4898,3.1259
1302,2026,山东威达,机械基件,山东,27.81,3.67,4.2,301861.63,189321.88,67638.43,124234.95,2.96,0.063,5.64,1.24,20040727,61089.6,1.45,35.2,-20.29,24.72,6.59,27587.0,1893,山东威达,-2.4424,-72.2159,111.0835,70.18,-82.0849,111.0835,1897,山东威达,6.4966,-37.1851,3.9298,-1.6164,-57.6923,3.9298,1880,山东威达,-2.8349,-37.0101,3.31,2.0706,-51.2829,3.31,2333,山东威达,2.7261,-19.166,3.9952,1.777,-32.3529,3.9952,791,山东威达,21.1517,24.6487,4.1465,3.3827,16.9591,4.1465,1009,山东威达,23.1771,18.652,37.5726,37.5443,9.0909,37.269,520,山东威达,39.2127,64.798,38.9022,36.4546,46.6667,38.6115,1125,山东威达,42.5344,29.5992,37.5932,37.1551,13.0435,37.3132,437,山东威达,54.9739,117.1555,38.4115,38.4203,100.0,38.0778,612,山东威达,33.5538,73.5522,5.1673,5.856,58.3333,5.1735,1265,山东威达,29.5056,25.0022,4.5481,7.4918,18.1818,4.5805,1445,山东威达,24.4682,19.3112,4.4821,6.3966,15.3846,4.4671,2241,山东威达,35.1955,-21.614,4.0171,9.5311,-25.0,4.074
