,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quanter
3093,002362,汉王科技,0.65,1.32,48.6229,4.8223,0.0225,364.1589,1.7008,2015,4
3094,600348,阳泉煤业,0.64,0.49,18.6843,83.3922,0.0346,16863.9081,7.0120000000000005,2015,4
3095,002566,益盛药业,0.63,1.33,73.4752,10.9115,0.0329,819.5981,2.4764,2015,4
3096,600084,中葡股份,0.63,5.11,59.0068,15.5103,0.0138,303.1408,0.2697,2015,4
3097,300205,天喻信息,0.62,0.47,30.5344,6.995,0.0162,1483.296,3.449,2015,4
3098,600031,三一重工,0.61,0.59,24.7791,138.586,0.0181,23366.869,3.0679,2015,4
3099,000800,一汽轿车,0.6,0.19,20.5938,52.9481,0.0325,26663.8415,16.3833,2015,4
3100,002295,精艺股份,0.6,0.2,3.5384,6.3661,0.0253,3079.0188,12.2377,2015,4
3101,000608,阳光股份,0.6,3.11,62.2705,20.18,0.0269,647.6,0.8635,2015,4
3102,600798,宁波海运,0.6,1.53,25.5245,16.0471,0.0155,1046.9493,1.0156,2015,4
3103,600082,海泰发展,0.59,1.51,9.756,10.3835,0.016,683.7511,1.0582,2015,4
3104,600538,国发股份,0.59,0.8,16.6269,4.0531,0.0087,506.408,1.0904,2015,4
3105,300402,宝色股份,0.59,0.62,21.3328,4.1702,0.0206,667.4017,3.3039,2015,4
3106,600503,华丽家族,0.58,4.94,23.3611,21.2562,0.0132,430.2292,0.2685,2015,4
3107,600854,春兰股份,0.58,4.32,23.1611,11.1913,0.0215,258.7713,0.4981,2015,4
3108,000813,德展健康,0.57,1.2,34.6693,6.1596,0.0131,510.7727,1.0925,2015,4
3109,601699,潞安环能,0.57,0.92,33.2295,103.0195,0.0344,11155.3972,3.7291,2015,4
3110,002188,*ST巴士,0.54,5.95,40.2898,10.8673,0.0362,182.6046,0.6095,2015,4
3111,601600,中国铝业,0.53,0.16,3.4734,206.31900000000002,0.0138,123445.87199999999,8.2828,2015,4
3112,600516,方大炭素,0.53,1.33,23.9627,31.0137,0.018000000000000002,2330.4063,1.3555,2015,4
3113,002468,申通快递,0.53,0.26,13.7868,3.8667,0.0116,1446.6399,4.3602,2015,4
3114,002552,*ST宝鼎,0.53,1.32,18.5489,4.293,0.0143,323.9906,1.0799,2015,4
3115,002564,天沃科技,0.53,0.78,22.7583,15.3938,0.0208,1967.3609,2.6596,2015,4
3116,000422,*ST宜化,0.52,0.19,15.3401,35.396,0.0394,18337.3603,20.4232,2015,4
3117,002243,通产丽星,0.52,0.74,16.9978,7.6354,0.0209,1020.972,2.7975,2015,4
3118,300093,金刚玻璃,0.52,1.32,36.8248,4.6213,0.0213,349.8865,1.6198,2015,4
3119,300189,神农基因,0.52,2.24,24.3,7.4775,0.0073,332.7454,0.3249,2015,4
3120,000807,云铝股份,0.52,0.18,7.0477,29.3935,0.0154,15852.3109,8.3494,2015,4
3121,000890,法尔胜,0.52,0.38,13.4782,5.5282,0.0145,1426.5421,3.7576,2015,4
3122,600161,天坛生物,0.51,0.61,48.5965,9.9772,0.0193,1617.986,3.1388,2015,4
3123,002263,*ST东南,0.51,1.7,4.6687,15.3025,0.0162,898.1469999999999,0.9563,2015,4
3124,300338,开元股份,0.5,1.34,46.9497,3.7935,0.015,282.4787,1.1209,2015,4
3125,600478,科力远,0.5,0.66,11.3941,7.4638,0.008,1124.7895,1.2128,2015,4
3126,000878,云南铜业,0.49,0.04,2.906,25.9543,0.0183,56655.5503,39.9997,2015,4
3127,600099,林海股份,0.49,0.66,13.5714,2.3603,0.0107,357.0039,1.6292,2015,4
3128,600311,荣华实业,0.48,5.46,7.2115,4.3009,0.0064,78.7637,0.1183,2015,4
3129,600449,宁夏建材,0.47,0.62,24.4081,19.8956,0.0416,3184.4995,6.6596,2015,4
3130,002659,凯文教育,0.47,0.37,13.4338,2.8638,0.0092,763.35,2.4545,2015,4
3131,002319,乐通股份,0.46,0.58,29.2744,2.5852,0.0129,441.741,2.2087,2015,4
3132,600243,青海华鼎,0.46,0.71,25.3421,8.3287,0.0189,1158.5216,2.6399,2015,4
3133,601388,怡球资源,0.46,0.27,6.5714,9.7503,0.0182,3490.3889,6.5485,2015,4
3134,600022,山东钢铁,0.45,0.19,2.2698,75.9299,0.009000000000000001,38972.3164,4.6283,2015,4
3135,300076,GQY视讯,0.45,2.4,37.8411,4.8996,0.0231,203.5194,0.9599,2015,4
3136,601717,郑煤机,0.44,0.93,19.7107,42.1986,0.026000000000000002,4510.8578,2.7825,2015,4
3137,600789,鲁抗医药,0.43,0.32,19.6936,7.8972,0.0135,2410.2877,4.1444,2015,4
3138,000061,农产品,0.42,1.18,48.5556,20.5551,0.0121,1736.6507,1.0233,2015,4
3139,000554,泰山石油,0.41,0.12,7.8621,3.7392,0.0077,2940.0883,6.115,2015,4
3140,000428,华天酒店,0.4,1.07,54.2592,12.8261,0.0125,1194.5947,1.1724,2015,4
3141,600169,太原重工,0.4,0.32,20.6565,22.112,0.0091,6861.1018,2.8305,2015,4
3142,002147,新光圆成,0.4,1.56,10.2519,3.4,0.0131,216.8785,0.8389,2015,4
3143,600395,盘江股份,0.4,0.57,21.9621,23.205,0.013999999999999999,4069.0233,2.4585,2015,4
3144,002386,天原集团,0.4,0.15,5.5889,16.3616,0.0243,10703.8276,15.9359,2015,4
3145,002067,景兴纸业,0.39,0.39,13.017999999999999,11.6378,0.0106,2954.1056,2.7004,2015,4
3146,600163,中闽能源,0.39,0.85,34.5507,5.7847,0.0057,679.0,0.6793,2015,4
3147,000045,深纺织A,0.39,0.69,6.8666,8.4972,0.0167,1226.7468,2.4219,2015,4
3148,600365,通葡股份,0.37,0.53,21.4453,2.548,0.0063,474.7071,1.1867,2015,4
3149,600222,太龙药业,0.37,0.54,23.865,5.557,0.0096,1017.3808,1.7727,2015,4
3150,600257,大湖股份,0.35,0.32,22.3679,2.6268,0.0061,808.9247,1.8942,2015,4
3151,600150,*ST船舶,0.35,0.22,8.494,61.8495,0.0448,27763.8463,20.1462,2015,4
3152,002005,德豪润达,0.35,0.44,16.9208,19.8621,0.0142,4506.3569,3.2271,2015,4
3153,600677,航天通信,0.34,0.17,13.064,10.8225,0.0207,6025.3894,11.5474,2015,4
3154,600209,*ST罗顿,0.34,2.29,17.7465,2.5165,0.0057,109.76,0.25,2015,4
3155,002204,大连重工,0.33,0.3,17.2934,21.8794,0.0226,7147.0457,7.401,2015,4
3156,002684,猛狮科技,0.33,0.5,20.9438,2.7836,0.01,550.4311,1.9832,2015,4
3157,000655,*ST金岭,0.32,1.32,10.7163,10.4479,0.0175,786.4169,1.3209,2015,4
3158,300260,新莱应材,0.32,0.48,22.7547,2.0856,0.0208,426.6251,4.2641,2015,4
3159,002232,启明信息,0.31,0.22,21.1869,3.1298,0.0076,1388.9921,3.3998,2015,4
3160,600702,舍得酒业,0.31,0.61,50.4369,7.1281,0.0211,1156.1351,3.4276,2015,4
3161,601616,广电电气,0.31,1.02,23.4032,7.9498,0.0085,776.9724,0.8311,2015,4
3162,600148,长春一东,0.3,0.21,28.7447,1.1177,0.0078,510.4922,3.6072,2015,4
3163,000766,通化金马,0.3,3.47,51.1803,6.8631,0.0119,197.5587,0.3444,2015,4
3164,600679,上海凤凰,0.3,0.79,13.8996,3.656,0.009000000000000001,460.7494,1.1455,2015,4
3165,002529,海源机械,0.28,1.21,30.9566,2.8062,0.013999999999999999,230.1432,1.1507,2015,4
3166,600771,广誉远,0.28,0.47,72.7727,2.0303,0.0073,428.4361,1.5421,2015,4
3167,000514,渝开发,0.26,0.63,23.2064,7.3708,0.0087,1155.04,1.3689,2015,4
3168,601168,西部矿业,0.26,0.11,5.0231,30.3711,0.0127,26767.0196,11.2324,2015,4
3169,601958,金钼股份,0.26,0.35,4.3315,33.9919,0.0105,9553.0456,2.9607,2015,4
3170,000425,徐工机械,0.24,0.3,20.5006,50.5982,0.0071,16657.8293,2.3513,2015,4
3171,000528,柳工,0.23,0.32,25.5271,21.3128,0.0189,6655.8156,5.915,2015,4
3172,601969,海南矿业,0.23,0.97,36.1703,10.1914,0.0054,1050.5846,0.5628,2015,4
3173,000852,石化机械,0.22,0.11,19.1589,5.8372,0.0126,5095.5267,11.0743,2015,4
3174,603333,明星电缆,0.22,0.52,15.4041,3.3028,0.0063,628.8053,1.2092,2015,4
3175,000157,中联重科,0.2,0.4,27.0192,83.4674,0.0108,20753.3466,2.7078,2015,4
3176,002676,顺威股份,0.2,0.17,19.743,2.1232,0.0132,1201.5146,7.5094,2015,4
3177,600984,建设机械,0.19,0.86,28.6767,6.0862,0.0095,701.2559,1.1012,2015,4
3178,600267,海正药业,0.19,0.15,27.8339,13.5667,0.013999999999999999,8767.4281,9.0804,2015,4
3179,600215,长春经开,0.19,1.25,27.3939,4.6796,0.01,372.8885,0.8018,2015,4
3180,300080,易成新能,0.19,0.37,21.759,6.4012,0.0127,1708.7609,3.3984,2015,4
3181,300209,天泽信息,0.19,0.59,42.7197,1.7586,0.0071,294.5867,1.2027,2015,4
3182,000759,中百集团,0.18,0.03,20.8242,5.6105,0.0082,16401.3848,24.0835,2015,4
3183,002463,沪电股份,0.17,0.16,11.7208,5.537999999999999,0.0033,3377.1363,2.0172,2015,4
3184,000923,河北宣工,0.16,0.27,21.7886,0.6976,0.0035,254.8512,1.2871,2015,4
3185,000971,高升控股,0.15,1.65,34.2082,2.6019,0.006,157.406,0.3681,2015,4
3186,000511,烯碳退,0.15,0.2,1.9353,2.2675,0.0019,1120.7127,0.9704,2015,4
3187,600123,兰花科创,0.14,0.3,26.8572,13.7255,0.012,4564.5171,3.9955,2015,4
3188,600508,上海能源,0.14,0.22,17.5614,11.4069,0.0157,4960.3929,6.8635,2015,4
3189,300177,中海达,0.1,0.24,40.492,1.5526,0.0035,637.9847,1.4601,2015,4
3190,600322,天房发展,0.09,0.11,24.5875,4.4948,0.004,3802.1763,3.4387,2015,4
3191,600871,*ST油服,0.09,0.04,9.5782,24.478,0.0017,60349.334,4.2671,2015,4
3192,000727,华东科技,0.09,0.91,5.7709,10.5361,0.0046,1156.3336,0.5105,2015,4
3193,002092,中泰化学,0.07,0.05,23.0637,7.6764,0.0055,15263.1994,10.9788,2015,4
3194,002505,大康农业,0.05,0.07,-0.8823,2.9972,0.001,3867.3809,1.3395,2015,4
3195,600892,大晟文化,-0.06,-5.04,76.5595,-0.9803,-0.0155,19.4336,0.3078,2015,4
3196,002582,好想你,-0.23,-0.29,40.1148,-3.2331,-0.0219,1113.0503,7.5409,2015,4
3197,000662,天夏智慧,-0.44,-0.56,10.6594,-2.539,-0.0088,445.9903,1.5486,2015,4
3198,600610,中毅达,-0.56,-9.74,20.6419,-6.5463,-0.0061,67.1674,0.0626,2015,4
3199,002645,华宏科技,-0.58,-2.84,21.1344,-8.745,-0.0417,306.9845,1.4657,2015,4
3200,601002,晋亿实业,-0.6,-0.59,15.9718,-13.5633,-0.0171,2278.1056,2.8738,2015,4
3201,002312,三泰控股,-0.85,-2.65,35.0383,-37.9279,-0.0412,1426.2914,1.5524,2015,4
3202,000426,兴业矿业,-0.92,-2.99,31.7837,-24.8443,-0.0208,829.7134,0.6949,2015,4
3203,002077,大港股份,-1.06,-1.7,19.9652,-18.4256,-0.0449,1077.7079,2.6285,2015,4
3204,600527,江南高纤,-1.11,-1.25,9.6842,-18.6971,-0.0233,1490.1981,1.8578,2015,4
3205,000017,深中华A,-1.17,-0.08,6.7786,-0.1384,-0.0002,170.99,0.3101,2015,4
3206,002097,山河智能,-1.22,-2.0,28.2481,-29.24,-0.0387,1456.1973,1.9279,2015,4
3207,000612,焦作万方,-1.31,-1.34,4.1908,-62.523,-0.0519,4658.3427,3.8727,2015,4
3208,000066,中国长城,-1.37,-0.04,9.1451,-35.6667,-0.0269,72935.8517,55.1044,2015,4
3209,600512,腾达建设,-1.42,-0.98,10.5278,-28.6969,-0.0281,2921.0649,2.8693,2015,4
3210,002313,日海通讯,-1.5,-1.0,22.8809,-28.9476,-0.0927,2869.2468,9.1963,2015,4
3211,002392,北京利尔,-1.62,-2.62,35.1881,-46.3378,-0.0386,1765.182,1.4727,2015,4
3212,600881,亚泰集团,-1.64,-1.72,20.4724,-189.5911,-0.0729,11011.669,4.2353,2015,4
3213,002148,北纬科技,-1.89,-9.86,42.0668,-19.0982,-0.0746,193.6052,0.7567,2015,4
3214,600701,*ST工新,-2.06,-2.18,29.2315,-18.3627,-0.0368,839.7939,1.6836,2015,4
3215,600321,*ST正源,-2.13,-10.11,8.4985,-57.1099,-0.0378,564.4257,0.3736,2015,4
3216,000020,深华发A,-2.16,-1.34,16.3087,-6.7315,-0.0237,499.4558,1.7638,2015,4
3217,300105,龙源技术,-2.29,-5.7,20.713,-47.8227,-0.0931,837.7647,1.6323,2015,4
3218,002133,广宇集团,-2.36,-3.74,11.1877,-64.4016,-0.0831,1719.5372,2.2212,2015,4
3219,600967,内蒙一机,-2.5,-2.82,10.6366,-56.6568,-0.0688,2002.2818,2.4334,2015,4
3220,600328,兰太实业,-2.73,-1.39,27.5674,-33.1164,-0.0922,2367.8091,6.5934,2015,4
3221,600847,万里股份,-2.79,-7.96,7.48,-19.8125,-0.1253,248.8765,1.5748,2015,4
3222,002513,蓝丰生化,-2.85,-6.8,20.1337,-68.7696,-0.3226,1010.4162,4.7410000000000005,2015,4
3223,601898,中煤能源,-3.01,-4.25,31.3397,-2520.089,-0.19,59270.865,4.4703,2015,4
3224,300330,华虹计通,-3.27,-6.41,12.5154,-13.6148,-0.0804,212.0912,1.2532,2015,4
3225,600368,五洲交通,-3.34,-4.58,46.3596,-95.6483,-0.1147,2085.6924,2.5014,2015,4
3226,600745,闻泰科技,-3.42,-20.45,17.1265,-146.4602,-0.2298,716.0104,1.1235,2015,4
3227,000985,大庆华科,-3.44,-2.1,10.9592,-16.6309,-0.1282,789.5827,6.0906,2015,4
3228,002075,沙钢股份,-3.49,-1.09,4.3663,-80.6218,-0.0365,7357.3442,3.3339,2015,4
3229,300164,通源石油,-3.55,-7.3,48.7895,-46.4381,-0.1146,635.5901,1.5689,2015,4
3230,300102,乾照光电,-3.67,-14.68,19.845,-90.2113,-0.128,614.4704,0.8721,2015,4
3231,600844,丹化科技,-3.74,-2.93,23.3162,-30.6678,-0.0393,1045.2185,1.3423,2015,4
3232,000019,深深宝A,-3.76,-10.42,26.8404,-35.2562,-0.11699999999999999,338.2245,1.1233,2015,4
3233,600716,凤凰股份,-3.78,-7.02,41.3843,-74.783,-0.1009,1064.4762,1.4373,2015,4
3234,600747,ST大控,-4.01,-4.31,0.1464,-82.0672,-0.055999999999999994,1902.4,1.2991,2015,4
3235,002369,卓翼科技,-4.04,-1.43,5.5323,-54.2297,-0.1109,3779.4651,7.7346,2015,4
3236,300191,潜能恒信,-4.09,-106.39,37.7797,-47.7014,-0.149,44.8332,0.1401,2015,4
3237,002571,德力股份,-4.12,-7.31,21.3054,-62.6899,-0.1599,857.5773,2.1879,2015,4
3238,000935,四川双马,-4.32,-5.75,10.5397,-113.725,-0.1489,1974.5663,2.5864,2015,4
3239,000972,*ST中基,-4.44,-7.07,9.2443,-48.3086,-0.0626,682.8967,0.8854,2015,4
3240,600784,鲁银投资,-4.5,-2.76,10.7986,-64.8498,-0.1141,2342.3242,4.1225,2015,4
3241,300397,天和防务,-4.51,-71.04,29.2225,-55.3271,-0.461,77.8738,0.6489,2015,4
3242,601989,中国重工,-4.59,-4.38,5.99,-2621.4845,-0.1427,59810.8014,3.2573,2015,4
