,code,name,mbrg,nprg,nav,targ,epsg,seg
2950,002299,圣农发展,21.802,-61.0582,4.4666,15.6849,-58.0687,5.7589
2951,600826,兰生股份,28.7236,-61.1038,-9.6351,-3.6201,-65.5,-10.6666
2952,002750,龙津药业,36.1383,-61.3636,-3.7162,3.3632,-61.3726,-3.7162
2953,600855,航天长峰,32.719,-61.3785,-0.531,12.0132,-82.1367,-0.8234
2954,600894,广日股份,1.7159,-62.0026,-0.8168,-3.8511,-62.7033,-0.9819
2955,000014,沙河股份,-17.3363,-62.2563,0.7001,-18.4403,-73.3427,0.6255
2956,300582,英飞特,16.7873,-62.5895,1.6106,-13.5576,-80.8824,1.6106
2957,600583,海油工程,-14.5029,-62.7064,-0.1729,-4.7473,-63.3333,-0.1657
2958,600091,ST明科,131.8951,-62.8299,0.6277,-5.1856,-66.6667,0.6277
2959,300265,通光线缆,4.3799,-62.983999999999995,5.5826,4.1048,-64.8649,2.7406
2960,002181,粤传媒,-12.4271,-63.151,3.4748,-8.2085,-61.7034,3.5556
2961,002364,中恒电气,-2.8099,-63.6915,-0.9861,0.7295,-62.068999999999996,0.5209
2962,000565,渝三峡A,53.0993,-63.6992,6.4296,17.887,-63.4615,6.4296
2963,300534,陇神戎发,-0.0349,-63.7856,1.2017,2.4564,-91.5946,1.2017
2964,300464,星徽精密,14.600999999999999,-63.9446,0.0117,23.3287,-63.8596,0.0117
2965,300058,蓝色光标,23.6359,-64.0335,7.9928,1.226,-69.697,13.7923
2966,002769,普路通,49.6704,-64.2514,6.117999999999999,-8.2851,-64.7059,6.117999999999999
2967,300520,科大国创,2.2931,-64.7235,7.5448,22.1956,-87.5,6.7968
2968,002165,红宝丽,18.3993,-64.7827,0.0194,17.3417,-68.1818,-0.4749
2969,002725,跃岭股份,21.6797,-64.8406,-0.0187,7.746,-64.2857,-0.0187
2970,000531,穗恒运A,12.5222,-65.5422,-1.604,0.1332,-67.8772,-0.6162
2971,600819,耀皮玻璃,11.2271,-66.4584,0.0722,-6.0018,-79.1667,-0.4469
2972,000936,华西股份,33.7392,-66.4829,-5.9983,27.0729,-67.6471,-7.164
2973,002513,蓝丰生化,27.0444,-66.928,0.888,-0.4381,-68.75,0.888
2974,300277,海联讯,-6.52,-67.0605,-1.7217,0.7295,-76.7949,-2.2757
2975,603528,多伦科技,-38.8633,-67.2668,0.0471,6.5965,-89.9135,-0.1033
2976,000957,中通客车,-15.184000000000001,-67.3504,7.7118,53.751000000000005,-67.6768,7.7252
2977,002261,拓维信息,8.7825,-67.9626,2.3282,2.9468,-68.4211,2.0703
2978,002835,同为股份,-0.8492,-68.1667,0.6512,-9.9055,-88.6076,0.6512
2979,600973,宝胜股份,36.7857,-68.2326,10.7318,32.1449,-76.1745,1.1405
2980,300516,久之洋,-34.2444,-68.3947,0.1151,-6.7912,-71.7557,0.1151
2981,002229,鸿博股份,-17.8826,-68.4031,-3.822,-13.3021,-47.6773,-0.5163
