code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603721,中广天择,影视音像,湖南,111.72,0.25,1.0,62123.01,48245.07,1775.71,25594.15,2.56,0.083,5.48,6.76,20170811,17108.4,1.71,0.0,0.0,32.51,14.51,11243.0
603722,阿科力,化工原料,江苏,134.11,0.22,0.87,67133.03,34316.78,16041.5,24580.75,2.84,0.098,6.1,8.65,20171025,17743.5,2.05,0.0,0.0,22.3,9.18,13429.0
300638,广和通,通信设备,深圳,135.95,0.27,0.8,67331.34,61893.15,1305.06,17151.7,2.14,0.083,4.68,9.68,20170413,11167.57,1.4,152.48,9.99,23.12,3.12,10552.0
603197,保隆科技,汽车配件,上海,27.93,0.7,1.19,255237.77,182501.77,47750.55,74924.99,6.28,0.42,11.34,4.07,20170519,52045.15,4.36,15.57,9.04,33.22,8.41,9583.0
603928,兴业股份,化工原料,江苏,31.41,0.63,2.02,140759.05,105216.55,23152.14,54826.28,2.72,0.174,5.81,3.75,20161212,36084.59,1.79,64.51,86.93,21.49,9.37,17789.0
603800,道森股份,专用机械,江苏,0.0,0.68,2.08,152708.16,114513.35,27727.5,49797.62,2.39,-0.005,4.48,4.05,20151210,20123.72,0.97,40.54,-115.01,18.61,-0.53,27382.0
603223,恒通股份,供气供热,山东,37.34,0.79,1.44,167734.0,90156.84,44810.43,63760.36,4.43,0.18,7.57,2.98,20150630,28692.5,1.99,54.63,35.62,5.95,2.0,13801.0
300631,久吾高科,环境保护,江苏,238.49,0.71,1.03,78357.4,62496.16,11194.5,14187.5,1.38,0.03,5.69,5.03,20170323,31034.99,3.02,8.67,17.38,43.24,6.7,10317.0
601619,嘉泽新能,新型电力,宁夏,86.24,1.94,19.33,891525.38,150262.7,614176.25,19287.9,0.1,0.026000000000000002,1.28,6.88,20170720,33416.89,0.17,27.63,71.02,55.15,21.69,70322.0
300216,千山药机,医疗保健,湖南,56.65,2.61,3.61,449811.91,224934.97,49833.87,22273.2,0.62,0.12300000000000001,3.36,2.76,20110511,55952.16,1.55,61.48,135.27,49.98,6.51,25120.0
002492,恒基达鑫,仓储物流,广东,83.57,3.53,4.05,153659.52,44267.87,77580.72,41984.12,1.04,0.027000000000000003,3.01,3.01,20101102,34822.94,0.86,6.87,-4.4,39.98,19.77,26412.0
000980,众泰汽车,汽车配件,安徽,31.91,5.28,20.38,3228681.0,1732531.63,299354.16,1326577.75,6.51,0.069,8.31,1.06,20000616,161384.91,0.79,917.68,351.37,18.03,2.59,60000.0
601858,中国科传,出版业,北京,0.0,1.31,7.91,443204.44,391733.56,20688.39,78380.56,0.99,-0.005,4.11,2.66,20170118,151766.56,1.92,11.33,-121.12,28.8,-1.18,40752.0
601231,环旭电子,元器件,上海,31.77,21.76,21.76,1584209.75,1372897.88,145092.11,163787.11,0.75,0.086,4.05,2.7,20120220,468723.56,2.15,-3.77,-34.72,10.31,3.01,28694.0
002172,澳洋科技,化纤,江苏,55.12,5.69,7.35,619664.13,310242.38,177777.5,85316.78,1.16,0.03,2.16,3.07,20070921,-6910.22,-0.09,-6.04,-62.82,8.45,1.88,44892.0
600026,中远海能,水运,上海,0.0,27.36,40.32,5906997.0,764394.94,4145174.5,759751.25,1.88,-0.021,6.83,0.8,20020523,1340718.88,3.33,-9.87,-115.07,9.99,-3.53,117971.0
300571,平治信息,互联网,浙江,39.13,0.46,0.8,68695.06,47278.31,5067.93,5034.55,0.63,0.597,4.81,19.4,20161213,24412.9,3.05,12.37,118.12,43.61,20.41,5534.0
300707,威唐工业,专用机械,江苏,48.74,0.2,0.79,81891.61,59113.96,13740.02,34471.37,4.39,0.39299999999999996,7.78,9.84,20171010,16537.92,2.1,76.61,116.32,44.94,20.68,17166.0
002241,歌尔股份,元器件,山东,55.52,27.23,32.45,2491776.75,1118792.63,947567.63,295067.25,0.91,0.057,4.64,2.71,20080522,803728.5,2.48,-10.61,-38.55,21.9,4.54,117587.0
300684,中石科技,化工原料,北京,134.82,0.22,0.87,76609.68,48541.78,25222.21,24729.46,2.85,0.152,6.55,12.51,20171227,21742.99,2.5,0.0,0.0,39.74,12.57,13109.0
601118,海南橡胶,橡胶,海南,0.0,39.31,42.79,1455302.0,571937.94,161983.38,523386.09,1.22,-0.059000000000000004,2.18,2.85,20110107,-53974.73,-0.13,-27.36,-1897.59,6.25,-23.13,108584.0
600596,新安股份,农药化肥,浙江,13.23,6.79,7.06,963175.63,426157.41,383134.25,86570.75,1.23,0.36700000000000005,6.74,2.88,20010906,281013.53,3.98,43.72,315.5,22.05,9.73,49503.0
300572,安车检测,电器仪表,深圳,107.96,0.31,0.67,108922.9,101189.9,3931.16,28117.84,4.18,0.21899999999999997,8.54,11.08,20161206,20866.06,3.1,17.2,117.95,49.57,17.93,3753.0
600063,皖维高新,化纤,安徽,75.25,19.26,19.26,869768.81,232325.77,465749.84,159929.0,0.83,0.011000000000000001,2.44,1.38,19970528,36398.23,0.19,28.05,-20.46,15.28,1.79,97390.0
600826,兰生股份,商贸代理,上海,62.74,4.21,4.21,446667.69,266424.25,2368.75,13624.95,0.32,0.06,7.81,1.94,19940204,170450.3,4.05,27.56,8.01,4.94,3.21,24824.0
300253,卫宁健康,软件服务,上海,133.48,11.96,16.09,363619.38,159426.16,36857.5,42739.4,0.27,0.025,1.71,7.87,20110818,74568.67,0.46,22.93,50.04,45.58,19.67,73492.0
603648,畅联股份,仓储物流,上海,37.76,0.92,3.69,186549.23,119592.47,27984.35,90418.13,2.45,0.142,4.33,4.95,20170913,26148.03,0.71,0.0,0.0,30.52,16.8,34900.0
002410,广联达,软件服务,北京,143.72,8.67,11.19,481063.56,235149.02,33019.26,44423.28,0.4,0.051,2.79,10.42,20100525,129650.82,1.16,7.06,3.39,95.17,17.03,26500.0
300365,恒华科技,软件服务,北京,226.12,2.17,3.95,193386.13,168986.3,6713.07,78910.28,2.0,0.025,3.96,5.72,20140123,52760.73,1.34,60.29,61.84,26.82,6.15,6388.0
600176,中国巨石,玻璃,浙江,18.56,35.02,35.02,2578662.0,775315.56,1392249.63,402213.5,1.15,0.17600000000000002,3.7,3.53,19990422,583253.56,1.67,34.17,31.17,45.27,24.73,64124.0
300517,海波重科,建筑施工,湖北,155.08,0.41,1.02,102941.36,77299.6,8303.71,26467.35,2.58,0.039,6.06,3.97,20160719,22118.82,2.16,-26.37,-19.15,27.09,9.5,13397.0
600498,烽火通信,通信设备,湖北,56.04,10.32,11.14,2790185.0,2310786.0,245153.72,478814.94,4.3,0.125,8.67,3.23,20010823,335458.34,3.01,20.63,0.47,28.0,3.28,50477.0
603679,华体科技,电气设备,四川,61.46,0.25,1.01,73188.43,60026.65,5577.74,20725.25,2.05,0.115,5.39,5.25,20170621,20924.35,2.07,80.07,58.69,31.16,9.1,5783.0
300228,富瑞特装,化工机械,江苏,469.29,4.06,4.75,433865.75,269845.47,108800.75,91907.57,1.94,0.005,3.84,2.41,20110608,36681.81,0.77,-28.08,-87.42,33.2,1.02,38899.0
601919,中远海控,水运,天津,90.23,76.36,102.16,12935889.0,3479230.0,5035714.0,2771864.25,2.71,0.018000000000000002,1.97,3.24,20070626,-1632513.25,-1.6,9.06,-33.04,7.89,0.83,312762.0
600615,丰华股份,小金属,上海,116.57,1.88,1.88,65460.55,59035.13,3567.93,43600.46,2.32,0.024,3.16,3.54,19920910,-9170.07,-0.49,-0.64,225.5,21.27,18.69,16215.0
603733,仙鹤股份,造纸,浙江,60.98,0.62,6.12,513754.91,213966.17,173302.56,116773.1,1.91,0.18,4.44,8.71,20180420,66043.97,1.08,0.0,0.0,21.51,12.31,60822.0
600810,神马股份,化纤,河南,16.21,4.42,4.42,1038650.13,511553.94,242522.22,179027.56,4.05,0.23,5.95,2.51,19940106,16058.84,0.36,-12.15,119.82,11.74,3.67,28754.0
002815,崇达技术,半导体,深圳,28.64,2.12,8.2,484013.19,230443.05,188683.27,71448.15,0.87,0.156,3.24,5.53,20161012,127057.11,1.55,27.78,33.94,32.62,14.6,27402.0
600141,兴发集团,化工原料,湖北,38.53,5.01,6.06,2455696.0,610281.56,1252081.88,413509.5,6.82,0.11,10.79,1.69,19990616,152144.73,2.51,6.37,127.45,14.69,1.76,31608.0
603311,金海环境,专用机械,浙江,37.34,0.93,2.1,92747.85,59868.23,15367.92,20809.56,0.99,0.098,3.52,4.14,20150518,29263.25,1.39,9.48,-9.68,33.48,14.18,21695.0
002180,纳思达,电脑设备,广东,103.27,6.86,10.64,3370353.25,959249.31,292233.41,166163.55,1.56,0.08,3.8,8.71,20071113,170067.31,1.6,-3.51,109.92,36.58,1.69,11996.0
300316,晶盛机电,专用机械,浙江,46.11,9.22,9.85,607862.44,444950.41,64232.81,154334.25,1.57,0.138,3.76,6.74,20120511,106091.97,1.08,53.25,122.85,39.37,23.95,27523.0
300188,美亚柏科,软件服务,福建,727.02,3.07,4.97,290534.66,158228.69,26838.55,87079.46,1.75,0.01,4.74,6.39,20110316,80292.75,1.62,27.54,53.67,57.98,2.8,33536.0
000650,仁和药业,中成药,江西,18.21,12.38,12.38,434820.31,253871.77,65273.51,29476.35,0.24,0.086,2.52,2.49,19961210,136191.8,1.1,26.02,34.05,41.84,10.19,90000.0
600409,三友化工,化工原料,河北,13.31,18.5,20.64,2414351.25,710172.94,1328175.88,354488.22,1.72,0.212,5.06,2.23,20030618,449773.41,2.18,-7.71,-14.18,25.28,9.27,81841.0
600738,兰州民百,百货,甘肃,29.14,3.68,7.83,503740.81,208931.2,36108.51,38846.9,0.5,0.073,2.42,3.5,19960802,64793.8,0.83,8.73,24.54,37.44,13.5,21086.0
603505,金石资源,矿物制品,浙江,58.57,1.12,2.4,133412.23,27169.05,59368.11,17569.73,0.73,0.085,3.11,6.41,20170503,30876.44,1.29,83.05,207.94,51.35,20.65,20994.0
