,code,name,mbrg,nprg,nav,targ,epsg,seg,year,quanter
1325,601018,宁波港,3.7402,22.3051,7.4188,5.4332,23.0769,4.4791,2017,3
1326,300068,南都电源,29.084,22.2932,0.3458,17.3075,24.3243,5.5287,2017,3
1327,600816,安信信托,,22.2708,91.601,90.38600000000001,-52.5199,91.601,2017,3
1328,600742,一汽富维,7.8613,22.2442,6.3458,5.6,17.284000000000002,6.8561,2017,3
1329,002079,苏州固锝,57.3237,22.2321,6.7811,12.3193,0.0,4.1428,2017,3
1330,300271,华宇软件,31.1713,22.1943,77.5383,81.1596,21.5862,78.8893,2017,3
1331,002732,燕塘乳业,12.9961,22.1554,11.9095,16.3839,17.5439,11.824000000000002,2017,3
1332,000813,德展健康,29.0859,22.1403,106.3266,98.3474,-52.4154,106.3437,2017,3
1333,600704,物产中大,41.818000000000005,22.0962,5.3791,4.968,-18.2877,4.8165,2017,3
1334,600195,中牧股份,-4.6378,22.0909,7.479,7.5119,22.487,10.3517,2017,3
1335,002048,宁波华翔,26.895,22.087,13.2714,26.9826,37.2093,13.431,2017,3
1336,600889,南京化纤,11.3179,22.0712,4.7162,5.0484,22.1622,4.7579,2017,3
1337,300168,万达信息,23.7667,22.0431,13.2987,11.5441,22.2222,13.1122,2017,3
1338,002514,宝馨科技,-5.1964,22.0057,-8.5624,2.3667,12.5714,-7.228,2017,3
1339,603012,创力集团,40.4689,21.9755,3.733,13.5335,23.0769,4.2734,2017,3
1340,600062,华润双鹤,14.6518,21.9679,11.6424,14.9577,0.4215,11.6789,2017,3
1341,600448,华纺股份,21.8035,21.8927,1.4853,2.5083,-33.3333,1.4853,2017,3
1342,600180,瑞茂通,85.833,21.8841,12.5095,30.1541,20.0345,12.4883,2017,3
1343,600620,天宸股份,6.5374,21.8158,-13.1992,-14.8118,22.5296,-12.8683,2017,3
1344,603136,天目湖,9.2943,21.791999999999998,,,20.3704,,2017,3
1345,600350,山东高速,9.404,21.7724,10.0424,-4.5075,8.0078,9.6828,2017,3
1346,600352,浙江龙盛,23.2983,21.7234,9.8384,22.5083,31.603,8.3971,2017,3
1347,002391,长青股份,13.8605,21.5618,2.7411,1.827,21.0526,2.7873,2017,3
1348,600518,康美药业,18.5857,21.5203,9.0201,23.2606,12.7434,8.9433,2017,3
1349,002051,中工国际,24.8025,21.4823,16.6124,-10.7819,0.0,18.6024,2017,3
1350,002409,雅克科技,33.2617,21.47,15.210999999999999,18.0654,17.6471,14.7083,2017,3
1351,300182,捷成股份,33.1149,21.4579,0.5683,16.1045,20.0,1.8982,2017,3
