,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2650,603969,银龙股份,-0.1332,-0.0442,-1.5972,-0.6677,-89.2945
2651,600582,天地科技,-0.1335,-0.0188,-2.3741,-0.0421,-5.4623
2652,002169,智光电气,-0.1339,-0.0261,-1.0432,-0.0466,-5.3346
2653,300331,苏大维格,-0.1341,-0.0338,-6.825,-0.1135,-13.975999999999999
2654,300155,安居宝,-0.1343,-0.0324,-9.2552,-0.1772,-19.8616
2655,600647,同达创业,-0.1343,-0.0065,-0.0526,-0.0178,-1.784
2656,002236,大华股份,-0.1345,-0.055999999999999994,-0.9372,-0.145,-15.163
2657,002059,云南旅游,-0.1347,-0.022000000000000002,-2.1452,-0.0466,-6.2027
2658,002093,国脉科技,-0.1357,-0.0254,-1.7957,-0.0487,-11.0262
2659,600395,盘江股份,-0.1357,-0.0202,-2652.6802,-0.0478,-7.1991
2660,002457,青龙管业,-0.1364,-0.0154,,-0.0575,-5.9337
2661,300561,汇金科技,-0.1365,-0.055,-0.3009,-0.5551,-67.1399
2662,300330,华虹计通,-0.1366,-0.0199,,-0.0794,-8.0585
2663,300266,兴源环境,-0.1369,-0.0234,-0.9644,-0.0578,-5.9775
2664,000096,广聚能源,-0.1369,-0.026000000000000002,-0.6957,-0.3813,-45.8858
2665,300264,佳创视讯,-0.1383,-0.0171,,-0.1593,-17.6077
2666,300242,明家联合,-0.1384,-0.0673,-1.5896,-0.3001,-36.2109
2667,600967,内蒙一机,-0.1388,-0.0269,,-0.1054,-10.5368
2668,600565,迪马股份,-0.1391,-0.0134,-3.2939999999999996,-0.0169,-2.5626
2669,002371,北方华创,-0.1393,-0.0159,-2.0409,-0.03,-5.832999999999999
2670,300438,鹏辉能源,-0.1395,-0.0455,-1.5346,-0.11,-12.3576
2671,300556,丝路视觉,-0.1395,-0.0605,-3.1789,-0.1794,-18.2285
2672,002679,福建金森,-0.1397,-0.0033,,-0.0058,-2.5024
2673,600066,宇通客车,-0.1405,-0.0729,-1.4711,-0.1265,-13.4863
2674,300503,昊志机电,-0.1406,-0.0286,-0.7787,-0.1862,-22.2873
2675,002577,雷柏科技,-0.1406,-0.0272,-5.8664,-0.2457,-26.9926
2676,300381,溢多利,-0.1408,-0.0262,-2.1023,-0.0633,-8.5085
2677,600082,海泰发展,-0.1411,-0.0222,,-0.0441,-7.1054
2678,002388,新亚制程,-0.1413,-0.053,-32.068000000000005,-0.1397,-14.3021
2679,002490,山东墨龙,-0.1417,-0.0174,,-0.0278,-2.9011
2680,002680,长生生物,-0.1432,-0.0117,-0.3427,-0.0956,-10.2809
2681,600406,国电南瑞,-0.1434,-0.0354,-1.9443,-0.0719,-7.2456
2682,300197,铁汉生态,-0.1435,-0.0221,-1.1643,-0.0452,-6.5823
2683,600755,厦门国贸,-0.1444,-0.1138,-6.5939,-0.1409,-15.6489
2684,000682,东方电子,-0.1448,-0.0436,-2.4675,-0.1059,-11.3097
2685,000838,财信发展,-0.1458,-0.0298,-1.4586,-0.0459,-7.9948
2686,000777,中核科技,-0.1466,-0.0358,-2.3113,-0.102,-13.2533
2687,002380,科远股份,-0.1467,-0.0131,-0.7342,-0.1259,-13.152000000000001
2688,002334,英威腾,-0.1472,-0.0373,-2.7769999999999997,-0.2142,-22.4458
2689,002589,瑞康医药,-0.1472,-0.0922,-4.2556,-0.1429,-14.2915
2690,002542,中化岩土,-0.1478,-0.0299,-1.7583,-0.0744,-7.5301
2691,300532,今天国际,-0.1481,-0.0333,-0.8214,-0.0681,-8.2468
2692,600257,大湖股份,-0.1483,-0.0339,-4.5409,-0.0735,-8.2318
2693,601001,大同煤业,-0.1492,-0.0154,-0.9279999999999999,-0.0249,-5.0658
2694,600562,国睿科技,-0.1494,-0.0276,-0.7902,-0.0779,-8.0664
2695,600624,复旦复华,-0.1498,-0.0248,-1.7907,-0.0627,-10.2873
2696,300013,新宁物流,-0.15,-0.0294,-10.3231,-0.0964,-11.3415
2697,300253,卫宁健康,-0.1503,-0.0183,-0.1287,-0.0747,-8.3334
2698,600854,春兰股份,-0.1504,-0.0066,-0.3633,-0.0309,-4.08
2699,002565,顺灏股份,-0.1505,-0.0324,-2.3085,-0.0763,-8.6373
2700,300002,神州泰岳,-0.1507,-0.0345,-0.9531,-0.17600000000000002,-18.0009
2701,002370,亚太药业,-0.1507,-0.0333,-0.991,-0.0586,-11.03
2702,300560,中富通,-0.1513,-0.0649,-1.1265,-0.2496,-24.9623
2703,002596,海南瑞泽,-0.1514,-0.0298,,-0.0895,-13.6033
