,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
315,002209,达意隆,0.1,-144.51,,3.24,,2017.82,-144.53,10派0.12,04-27
316,002881,美格智能,0.6,3.45,,15.61,,5628.52,20.49,,04-27
317,300002,神州泰岳,0.06,-76.22,,2.35,,11955.01,-76.44,10派0.07,04-27
318,002343,慈文传媒,1.29,40.22,,24.01,,40842.16,40.78,10派1.8转4,04-27
319,002054,德美化工,0.07,-80.0,,1.67,,2996.1,-79.8,10派0.47,04-27
320,002375,亚厦股份,0.27,12.5,,4.88,,35768.69,12.02,10派0.4,04-27
321,600809,山西汾酒,1.09,56.02,,19.04,,94410.17,56.02,10派6,04-27
322,300104,乐视网,-3.48,-1300.52,,-211.4,,-1387804.48,-2601.63,,04-27
323,600863,内蒙华电,0.09,50.0,,5.14,,51413.91,54.53,10派0.3,04-27
324,002150,通润装备,0.26,-33.33,,6.62,,7076.7,-28.76,10派1.5,04-27
325,600562,国睿科技,0.35,-28.57,,9.74,,16935.99,-25.84,10派1.07转3,04-27
326,603308,应流股份,0.14,7.69,,2.16,,6017.27,10.04,10派0.42,04-27
327,601169,北京银行,0.99,-14.66,7.43,13.77,0.59,1873300.0,5.23,10派2.67,04-27
328,002263,*ST东南,-0.3,200.0,,-23.13,,-56759.31,205.8,,04-27
329,600295,鄂尔多斯,0.5,92.31,,6.91,,52096.64,96.12,10派1,04-27
330,600313,农发种业,-0.26,-738.01,,-18.38,,-28520.86,-737.42,,04-27
331,600331,宏达股份,0.1,60.6,,4.27,,20618.96,60.53,,04-27
332,601699,潞安环能,0.93,220.69,,15.26,,278224.01,224.6,10派2.87,04-27
333,002637,赞宇科技,0.38,-9.52,,7.57,,15942.61,5.03,10派2,04-27
334,000587,金洲慈航,0.48,-51.02,,11.41,,102156.64,-1.52,,04-27
335,600020,中原高速,0.4,92.15,,9.69,,117290.81,56.78,10派1.68,04-27
336,002348,高乐股份,0.06,29.62,,4.38,,5508.91,29.48,,04-27
337,600395,盘江股份,0.53,349.15,,14.01,,87724.95,347.52,10派3.5,04-27
338,002701,奥瑞金,0.3,-38.78,,13.04,,70385.81,-38.98,10派1.76,04-27
339,002412,汉森制药,0.37,28.08,,8.78,,10880.68,28.1,,04-27
340,002107,沃华医药,0.16,14.29,,11.02,,5703.19,16.85,,04-27
341,002123,梦网集团,0.28,-6.67,,4.67,,24045.53,-6.12,,04-27
342,603183,建研院,0.92,10.84,,15.68,,6597.54,20.01,,04-27
343,002203,海亮股份,0.42,27.87,,13.57,,70533.2,27.95,10派0.6,04-27
344,600227,赤天化,0.02,-109.21,,0.82,,3825.8,-110.95,,04-27
345,000892,欢瑞世纪,0.43,-30.65,,14.51,,42207.16,59.23,,04-27
