,code,name,mbrg,nprg,nav,targ,epsg,seg
1292,002550,千红制药,38.7255,19.7008,3.5443,2.8036,20.0,3.9188
1293,600371,万向德农,-3.0994,19.623,14.6479,9.2617,12.0724,9.6102
1294,300127,银河磁体,19.7969,19.5897,10.3748,8.7436,22.2222,10.4229
1295,600368,五洲交通,-16.9517,19.5754,7.0196,-5.7399,26.6667,9.8502
1296,603757,大元泵业,18.287,19.5349,196.3864,92.2223,-10.2041,196.3864
1297,603689,皖天然气,8.7037,19.5285,5.1466,2.7945,8.3333,7.0864
1298,300263,隆华节能,19.1395,19.5251,4.1886,9.783999999999999,30.7018,1.5497
1299,300726,宏达电子,32.8838,19.5216,,,6.9697,
1300,002101,广东鸿图,68.2897,19.4977,109.03200000000001,101.1386,-31.0636,99.3238
1301,601128,常熟银行,,19.4929,14.0238,10.3927,21.4286,14.2039
1302,300373,扬杰科技,31.0517,19.2422,13.3121,19.6962,8.3333,12.1866
1303,603396,金辰股份,30.1756,18.8365,,,-12.699000000000002,
1304,300289,利德曼,51.5405,18.8155,6.8754,3.1787,0.0,5.5798
1305,603278,大业股份,43.2756,18.8096,,,-14.2857,
1306,002470,金正大,20.3148,18.7242,24.0284,21.2626,30.7692,5.7891
1307,300049,福瑞股份,13.277000000000001,18.6426,-10.8169,-3.4429,26.6667,-5.0664
1308,300168,万达信息,11.8122,18.6298,21.3106,27.3041,25.0,20.793000000000003
1309,002029,七匹狼,13.8987,18.582,5.6031,8.2742,22.2222,5.2334
1310,601117,中国化学,41.8851,18.3184,4.3417,3.2471,33.3333,3.5535
1311,002187,广百股份,20.8756,18.1798,2.343,3.7775,14.2857,2.9307
1312,601669,中国电建,16.4218,18.171,38.7682,17.5419,1.129,26.7945
1313,300737,科顺股份,37.6805,18.1531,,,0.0,
1314,000498,山东路桥,52.1815,18.085,17.0111,24.2227,20.5021,16.1604
1315,603159,上海亚虹,9.6221,18.0834,4.2226,10.9601,25.0,4.2226
1316,600169,太原重工,-16.5104,18.0693,1.2286,10.4663,200.0,1.29
1317,002782,可立克,36.5944,18.0018,2.11,9.3478,17.8273,2.11
1318,002435,长江润发,95.3164,17.8611,5.6487,13.064,14.2857,6.2973
1319,603991,至正股份,44.191,17.8204,8.7653,12.2824,-10.0,8.7653
1320,002254,泰和新材,3.8102,17.7412,1.5724,3.3144,20.0,2.0349
1321,600697,欧亚集团,18.8955,17.6692,15.4897,21.1196,10.3448,8.0124
1322,600626,申达股份,90.697,17.6163,11.9673,89.4303,-1.4815,-0.6475
1323,002543,万和电气,49.5927,17.6108,8.894,27.0025,13.7931,3.6868
1324,601009,南京银行,,17.5942,12.0788,5.0634,-15.0,11.5158
1325,002388,新亚制程,-23.8421,17.5853,108.7222,27.570999999999998,-12.9167,111.5137
1326,600528,中铁工业,16.3317,17.5527,9.4848,9.171,-1.3333,8.7369
1327,002232,启明信息,-15.0731,17.5526,1.7755,-3.0329,-6.4516,1.1617
1328,002468,申通快递,33.4793,17.5036,24.0312,6.7093,19.0476,23.6262
1329,300385,雪浪环境,21.1708,17.4969,42.9871,28.4246,37.4892,45.3483
1330,300189,神农基因,-86.225,17.4787,-1.4513,-24.2947,147.0588,-0.8697
1331,002866,传艺科技,51.5012,17.4164,125.7675,101.3581,-14.2857,125.7675
1332,601518,吉林高速,-3.2961,17.4116,7.3431,-10.7481,0.0,8.9928
1333,603501,韦尔股份,105.973,17.4029,55.1795,99.6651,-10.0,53.5917
1334,300429,强力新材,24.453000000000003,17.397000000000002,15.9988,19.8634,23.9168,10.8243
