,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2182,300204,舒泰神,0.25,-24.24,3.62,6.95,0.2,11835.97,8.3,,08-23
2183,000777,中核科技,0.08,-13.6,,2.62,,3022.53,-13.54,,08-23
2184,600882,广泽股份,-0.09,125.0,,-3.46,,-3657.64,106.87,,08-23
2185,002226,江南化工,0.05,-16.38,,1.42,,4198.02,-17.03,,08-23
2186,600583,海油工程,0.2,-42.86,,3.75,,87019.2,-44.06,,08-23
2187,600982,宁波热电,0.05,-49.45,,1.56,,3787.57,-49.44,,08-23
2188,000430,张家界,0.11,-27.2,,5.61,,3504.9,-28.32,,08-23
2189,300031,宝通科技,0.23,73.49,6.27,5.16,0.28,7688.42,95.74,,08-23
2190,300112,万讯自控,0.04,0.0,2.66,1.36,0.06,956.0,-13.41,,08-23
2191,002709,天赐材料,0.6,151.04,,14.93,,19260.48,556.78,,08-23
2192,300484,蓝海华腾,0.69,-1.43,5.02,17.16,0.07,6763.54,146.23,,08-23
2193,600794,保税科技,0.02,-62.9,,1.43,,2697.48,-63.27,,08-23
2194,000078,海王生物,0.1,30.53,,4.57,,10013.52,81.62,,08-23
2195,002601,龙蟒佰利,0.1,-58.33,,3.07,,7110.97,52.49,,08-23
2196,300036,超图软件,0.03,42.11,3.33,1.54,-0.27,1068.09,180.33,,08-23
2197,300736,百华悦邦,0.56,40.0,4.2,13.01,,2283.48,41.45,,08-23
2198,300085,银之杰,0.02,12.63,1.32,1.69,-0.19,1526.29,46.93,,08-23
2199,002665,首航节能,0.04,-71.43,,3.13,,8726.61,-8.55,,08-23
2200,601766,中国中车,0.18,5.88,,4.83,,479477.3,2.04,,08-23
2201,002119,康强电子,0.09,-142.86,,2.66,,1757.91,-140.98,,08-23
2202,002767,先锋电子,0.13,-41.86,,3.09,,1923.37,-12.77,,08-23
2203,002135,东南网架,0.04,-20.0,,1.5,,3609.18,-8.53,,08-23
2204,002456,欧菲科技,0.36,37.19,,5.89,,36757.38,37.78,,08-23
2205,600834,申通地铁,0.07,12.75,,2.47,,3514.39,12.75,,08-23
2206,300235,方直科技,0.03,-56.14,2.13,1.45,-0.06,486.45,-54.73,,08-23
2207,002509,天广中茂,0.1,-33.33,,3.75,,15629.17,135.1,,08-23
2208,000099,中信海直,0.07,-49.6,,1.49,,4170.52,-49.58,,08-23
2209,600976,健民集团,0.27,-12.9,,4.26,,4198.67,-11.37,,08-23
2210,300009,安科生物,0.16,-0.93,2.32,6.92,0.15,8511.13,39.14,,08-23
2211,002012,凯恩股份,-0.01,-125.0,,-0.25,,-293.06,-116.44,,08-23
2212,600311,荣华实业,-0.06,186.36,,-4.83,,-4201.23,192.66,,08-23
2213,300138,晨光生物,0.2,-13.54,5.64,3.53,1.04,5102.89,25.3,,08-23
2214,002108,沧州明珠,0.42,180.0,,13.49,,25676.23,185.4,,08-23
2215,002812,创新股份,0.75,19.05,7.32,10.21,-0.09,7548.58,20.11,,08-23
2216,002193,如意集团,0.08,14.29,,1.94,,1338.15,13.19,,08-23
2217,000429,粤高速A,0.29,61.11,,8.39,,50589.91,118.2,,08-23
2218,300014,亿纬锂能,0.21,35.57,4.14,5.1,-0.17,8896.61,44.21,,08-23
2219,300336,新文化,0.22,8.05,4.96,4.34,0.02,11617.47,5.8,,08-23
2220,002025,航天电器,0.29,11.54,,6.22,,12606.98,12.14,,08-23
2221,600737,中粮糖业,0.05,-497.41,,1.53,,9459.33,-497.59,,08-23
2222,002062,宏润建设,0.11,-8.33,,4.08,,10035.88,5.43,,08-23
2223,300447,全信股份,0.3,-37.61,3.66,8.27,-0.26,4810.0,49.73,,08-23
2224,600389,江山股份,0.01,-82.99,,0.32,,419.38,-74.45,,08-23
2225,603838,四通股份,0.11,-52.17,,4.82,,2997.87,25.27,,08-23
2226,002431,棕榈股份,0.04,-84.0,,1.25,,5239.25,-59.08,,08-23
2227,002463,沪电股份,0.02,-166.67,,0.94,,3034.39,-172.42,,08-23
2228,000778,新兴铸管,0.05,-45.93,,1.1,,18861.91,-45.95,,08-23
2229,002158,汉钟精机,0.15,-46.97,,4.34,,8082.07,4.56,,08-23
2230,603085,天成自控,0.16,-27.27,,4.04,,1638.78,-0.61,,08-23
2231,300269,联建光电,0.26,39.44,8.3,4.1,0.19,14350.98,56.97,,08-23
2232,300285,国瓷材料,0.2,27.71,5.39,4.44,0.21,5423.94,36.09,,08-23
2233,300301,长方集团,0.05,-10.27,2.81,2.42,-0.11,3756.56,6.19,,08-23
2234,600596,新安股份,-0.03,-48.9,,-0.4,,-1737.33,-48.9,,08-23
2235,002576,通达动力,-0.04,-292.0,,-0.75,,-633.6,-306.81,,08-23
2236,000936,华西股份,0.07,-20.45,,2.15,,5954.44,-9.74,,08-23
2237,600704,物产中大,0.21,-39.43,,4.04,,73046.14,108.93,,08-23
2238,300415,伊之密,0.21,-46.15,3.26,6.49,0.37,5097.58,14.04,,08-23
2239,002351,漫步者,0.08,-55.44,,2.72,,4714.93,-11.95,,08-23
2240,002163,中航三鑫,-0.01,-88.89,,-0.7,,-506.27,-92.71,,08-22
2241,002340,格林美,0.06,-45.45,,2.59,,17189.95,30.22,,08-22
2242,603869,北部湾旅,0.13,-31.58,,3.76,,2806.62,-23.02,,08-22
2243,603366,日出东方,0.17,112.5,,3.6,,13517.33,108.67,,08-22
2244,002061,浙江交科,0.03,-120.83,,1.03,,1595.78,-124.46,,08-22
2245,600012,皖通高速,0.29,2.29,,5.81,,48166.18,2.29,,08-22
2246,002575,群兴玩具,0.02,-5.0,,1.24,,1120.19,-12.75,,08-22
2247,002302,西部建设,0.07,-30.0,,1.91,,7714.53,52.2,,08-22
2248,002639,雪人股份,0.0,-91.0,,0.14,,223.9,-73.78,,08-22
2249,002467,二六三,0.11,37.5,,3.81,,8562.08,43.33,,08-22
2250,002499,科林环保,0.09,-38.46,,2.32,,1632.27,-38.49,,08-22
2251,002275,桂林三金,0.38,3.76,,9.41,,22655.89,3.88,,08-22
2252,300096,易联众,0.0,-89.1,1.65,0.18,-0.2,126.77,-88.91,,08-22
